Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-25,22.01,22.68,22.01,22.3,3337,0.29,0.67,1.3,3.0,0.33,1
2023-08-24,22.44,22.44,22.13,22.13,438,-0.31,0.31,-1.4,1.4,0.16,-1
2023-08-23,22.67,22.82,22.14,22.44,5028,-0.23,0.68,-1.02,3.03,0.34,-1
2023-08-22,22.1,22.71,21.85,22.47,5050,0.37,0.86,1.65,3.83,0.43,1
2023-08-21,22.45,22.45,21.53,21.8,21709,-0.65,0.92,-2.98,4.22,0.46,-1
2023-08-18,22.76,22.76,22.68,22.68,260,-0.08,0.08,-0.36,0.36,0.04,1
2023-08-17,22.56,22.56,22.56,22.56,174,0.0,0.0,0.0,0.0,0.0,1
2023-08-16,22.61,22.61,22.51,22.51,2251,-0.1,0.1,-0.44,0.44,0.05,-1
2023-08-15,22.85,22.85,22.61,22.61,850,-0.24,0.24,-1.05,1.05,0.12,-1
2023-08-14,23.08,23.08,23.08,23.08,100,0.0,0.0,0.0,0.0,0.0,1
2023-08-11,22.69,22.69,22.69,22.69,1,0.0,0.0,0.0,0.0,0.0,-1
2023-08-10,23.06,23.1,22.69,22.69,2353,-0.37,0.41,-1.63,1.81,0.2,-1
2023-08-09,23.06,23.18,23.06,23.06,3125,-0.0,0.12,-0.0,0.52,0.06,-1
2023-08-08,23.3,23.3,23.08,23.1,2007,-0.2,0.22,-0.87,0.95,0.11,-1
2023-08-07,23.3,23.3,23.12,23.29,1031,-0.01,0.18,-0.04,0.77,0.09,1
2023-08-04,23.8,24.06,23.07,23.18,6646,-0.62,0.99,-2.67,4.27,0.49,1
2023-08-03,23.46,23.85,23.05,23.1,2800,-0.35,0.8,-1.54,3.46,0.4,1
2023-08-02,23.39,23.39,22.93,23.0,1129,-0.39,0.46,-1.7,2.02,0.23,-1
2023-08-01,23.15,23.15,23.15,23.15,155,0.0,0.0,0.0,0.0,0.0,-1
