Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-04,20.35,20.62,20.2,20.29,35103,-0.06,0.42,-0.3,2.07,0.21,-1
2023-08-03,20.1,20.47,20.1,20.41,62393,0.31,0.37,1.52,1.81,0.18,1
2023-08-02,19.76,20.23,19.71,20.15,58466,0.39,0.52,1.94,2.58,0.26,1
2023-08-01,19.82,20.06,19.5,20.02,47872,0.2,0.56,1.0,2.8,0.28,1
2023-07-31,20.06,20.21,19.6,19.82,68487,-0.24,0.61,-1.21,3.08,0.3,-1
2023-07-28,20.29,20.45,19.85,19.98,46290,-0.31,0.6,-1.55,3.03,0.3,-1
2023-07-27,20.45,20.45,19.98,20.1,59552,-0.35,0.47,-1.74,2.34,0.23,-1
2023-07-26,19.81,20.4,19.81,20.26,69379,0.45,0.59,2.22,2.91,0.29,1
2023-07-25,20.14,20.5,19.25,19.58,47919,-0.56,1.25,-2.86,6.41,0.63,-1
2023-07-24,19.42,20.52,19.42,20.17,83939,0.75,1.1,3.72,5.45,0.55,1
2023-07-21,21.0,21.0,19.41,19.41,71667,-1.59,1.59,-8.19,8.19,0.8,-1
2023-07-20,19.97,20.25,19.59,20.23,71341,0.26,0.66,1.29,3.26,0.33,1
2023-07-19,19.42,20.01,19.42,19.96,63582,0.54,0.59,2.71,2.96,0.29,1
2023-07-18,18.62,19.62,18.62,19.19,63101,0.57,1.0,2.97,5.21,0.5,1
2023-07-17,18.34,18.73,18.29,18.63,55573,0.29,0.44,1.56,2.36,0.22,1
2023-07-14,19.18,19.18,18.38,18.4,64601,-0.78,0.8,-4.24,4.35,0.4,-1
2023-07-13,18.87,19.2,18.86,19.06,50901,0.19,0.35,1.0,1.82,0.17,1
2023-07-12,18.45,18.95,18.44,18.74,61918,0.29,0.51,1.55,2.72,0.25,1
2023-07-11,18.16,18.31,18.09,18.19,35486,0.03,0.22,0.16,1.21,0.11,1
2023-07-10,17.81,18.26,17.81,18.03,41213,0.22,0.45,1.22,2.5,0.23,1
2023-07-07,17.59,18.1,17.59,17.84,70359,0.25,0.51,1.4,2.86,0.26,1
2023-07-06,17.59,17.72,17.2,17.62,65333,0.03,0.52,0.17,2.95,0.26,-1
2023-07-05,17.66,17.99,17.32,17.76,72340,0.1,0.67,0.56,3.77,0.33,1
2023-07-03,17.27,17.77,17.27,17.75,39246,0.48,0.5,2.7,2.82,0.25,1
2023-06-30,17.94,17.98,17.17,17.19,83032,-0.75,0.81,-4.36,4.71,0.4,-1
2023-06-29,18.07,18.2,17.73,17.77,95914,-0.3,0.47,-1.69,2.64,0.23,-1
2023-06-28,18.03,18.08,17.74,17.91,58141,-0.12,0.34,-0.67,1.9,0.17,-1
2023-06-27,18.02,18.27,17.78,18.09,52008,0.07,0.49,0.39,2.71,0.24,1
2023-06-26,18.25,18.51,17.81,17.92,86734,-0.33,0.7,-1.84,3.91,0.35,-1
