Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-11,21.22,21.35,21.16,21.35,19153,0.13,0.19,0.61,0.89,0.1,1
2023-08-10,21.34,21.39,21.19,21.29,22036,-0.05,0.2,-0.23,0.94,0.1,1
2023-08-09,21.39,21.39,21.15,21.28,23901,-0.12,0.24,-0.54,1.13,0.12,-1
2023-08-08,21.36,21.4,21.16,21.4,17460,0.04,0.24,0.19,1.12,0.12,1
2023-08-07,21.4,21.4,21.22,21.37,36202,-0.03,0.18,-0.13,0.84,0.09,-1
2023-08-04,21.3,21.39,21.2,21.38,24744,0.08,0.19,0.37,0.87,0.09,1
2023-08-03,21.23,21.39,21.08,21.08,49019,-0.15,0.31,-0.71,1.47,0.16,-1
2023-08-02,21.21,21.3,21.13,21.25,32227,0.04,0.17,0.19,0.8,0.09,-1
2023-08-01,21.32,21.4,21.11,21.4,35829,0.08,0.29,0.37,1.36,0.14,1
2023-07-31,21.2,21.39,21.08,21.39,101685,0.19,0.31,0.89,1.45,0.16,1
2023-07-28,21.04,21.21,20.82,21.09,48012,0.05,0.39,0.24,1.85,0.2,-1
2023-07-27,21.14,21.39,20.87,21.12,51914,-0.02,0.52,-0.09,2.46,0.26,-1
2023-07-26,20.85,21.4,20.72,21.14,63853,0.29,0.68,1.37,3.22,0.34,1
2023-07-25,20.85,20.85,20.65,20.85,35867,0.0,0.2,0.0,0.96,0.1,-1
2023-07-24,20.95,21.1,20.82,20.88,42259,-0.07,0.28,-0.34,1.32,0.14,1
2023-07-21,20.97,21.06,20.77,20.85,42653,-0.12,0.29,-0.58,1.4,0.15,-1
2023-07-20,21.0,21.07,20.73,20.87,54660,-0.13,0.34,-0.62,1.62,0.17,-1
2023-07-19,21.1,21.13,20.73,20.87,58157,-0.23,0.4,-1.08,1.92,0.2,-1
2023-07-18,20.84,21.1,20.84,21.03,49688,0.19,0.26,0.9,1.24,0.13,1
2023-07-17,20.99,21.08,20.8,20.9,30549,-0.09,0.28,-0.43,1.34,0.14,1
2023-07-14,21.08,21.15,20.69,20.85,28973,-0.23,0.46,-1.1,2.21,0.23,-1
2023-07-13,21.34,21.35,20.94,21.2,46569,-0.14,0.41,-0.66,1.93,0.21,-1
2023-07-12,21.42,21.53,21.21,21.49,70148,0.07,0.32,0.33,1.49,0.16,1
2023-07-11,21.28,21.45,21.1,21.42,34446,0.14,0.35,0.65,1.63,0.17,1
2023-07-10,20.98,21.2,20.7,21.18,17413,0.2,0.5,0.94,2.34,0.25,1
2023-07-07,20.77,20.98,20.57,20.96,27881,0.19,0.41,0.91,1.96,0.21,1
2023-07-06,20.99,20.99,20.53,20.87,35530,-0.12,0.46,-0.57,2.2,0.23,-1
2023-07-05,21.09,21.42,20.9,21.09,50527,0.0,0.52,0.0,2.47,0.26,-1
2023-07-03,20.96,21.32,20.82,21.27,35586,0.31,0.5,1.46,2.35,0.25,1
2023-06-30,20.66,21.0,20.64,21.0,207717,0.34,0.36,1.62,1.71,0.18,1
2023-06-29,20.96,20.96,20.56,20.65,76692,-0.31,0.4,-1.5,1.94,0.2,-1
2023-06-28,20.6,20.95,20.51,20.95,68667,0.35,0.44,1.67,2.1,0.22,1
2023-06-27,20.5,20.64,20.33,20.62,118185,0.12,0.31,0.58,1.51,0.16,1
2023-06-26,20.25,20.48,20.25,20.42,47948,0.17,0.23,0.83,1.13,0.12,1
2023-06-23,20.25,20.35,20.12,20.24,37211,-0.01,0.23,-0.05,1.14,0.12,-1
2023-06-22,20.1,20.28,20.05,20.24,55449,0.14,0.23,0.69,1.14,0.11,-1
2023-06-21,19.96,20.32,19.96,20.28,38124,0.32,0.36,1.58,1.78,0.18,1
2023-06-20,20.29,20.35,19.86,20.04,48257,-0.25,0.49,-1.25,2.45,0.25,-1
2023-06-16,20.4,20.43,20.22,20.37,35138,-0.03,0.21,-0.15,1.03,0.11,-1
2023-06-15,20.29,20.62,20.29,20.49,26478,0.2,0.33,0.98,1.61,0.17,1
2023-06-14,20.8,20.92,20.15,20.29,67023,-0.51,0.77,-2.51,3.78,0.38,-1
2023-06-13,21.21,21.38,21.16,21.3,37077,0.09,0.22,0.42,1.03,0.11,1
2023-06-12,21.39,21.42,21.03,21.12,29399,-0.27,0.39,-1.28,1.86,0.2,-1
2023-06-09,21.66,21.66,21.21,21.55,40860,-0.11,0.45,-0.51,2.09,0.22,1
2023-06-08,21.45,21.51,21.27,21.5,32855,0.05,0.24,0.23,1.12,0.12,1
2023-06-07,21.47,21.62,21.35,21.49,44847,0.02,0.27,0.09,1.26,0.13,-1
2023-06-06,21.6,21.68,21.25,21.64,37461,0.04,0.43,0.18,1.97,0.21,1
2023-06-05,21.6,21.6,21.21,21.55,29636,-0.05,0.39,-0.23,1.81,0.2,-1
2023-06-02,20.95,21.76,20.75,21.76,74787,0.81,1.01,3.72,4.64,0.51,1
2023-06-01,20.68,21.0,20.65,20.72,62633,0.04,0.35,0.19,1.69,0.18,-1
2023-05-31,20.79,20.99,20.52,20.86,162619,0.07,0.47,0.34,2.25,0.23,1
2023-05-30,20.5,20.91,20.38,20.61,67962,0.11,0.53,0.53,2.57,0.27,1
2023-05-26,20.35,20.46,20.25,20.46,24010,0.11,0.21,0.54,1.03,0.11,1
2023-05-25,20.32,20.46,20.2,20.35,34491,0.03,0.26,0.15,1.28,0.13,-1
2023-05-24,20.27,20.5,20.06,20.5,47101,0.23,0.44,1.12,2.15,0.22,1
2023-05-23,20.03,20.35,20.03,20.29,53433,0.26,0.32,1.28,1.58,0.16,1
2023-05-22,19.91,20.21,19.89,20.07,85019,0.16,0.32,0.8,1.59,0.16,-1
2023-05-19,20.01,20.08,19.71,20.07,53070,0.06,0.37,0.3,1.84,0.18,-1
2023-05-18,20.1,20.3,20.03,20.08,89518,-0.02,0.27,-0.1,1.34,0.13,-1
2023-05-17,19.69,20.19,19.69,20.19,71451,0.5,0.5,2.48,2.48,0.25,1
2023-05-16,19.85,19.97,19.49,19.69,78973,-0.16,0.48,-0.81,2.44,0.24,-1
2023-05-15,20.12,20.12,19.65,19.85,99670,-0.27,0.47,-1.36,2.37,0.24,-1
2023-05-12,19.96,20.09,19.73,20.09,56679,0.13,0.36,0.65,1.79,0.18,1
2023-05-11,20.1,20.24,19.75,19.92,64938,-0.18,0.49,-0.9,2.46,0.25,-1
2023-05-10,19.96,20.5,19.77,20.49,50757,0.53,0.73,2.59,3.55,0.36,1
2023-05-09,20.0,20.24,19.67,19.79,227248,-0.21,0.57,-1.06,2.88,0.28,-1
2023-05-08,20.34,20.65,19.93,20.15,39836,-0.19,0.72,-0.97,3.57,0.36,-1
2023-05-05,19.82,20.28,19.8,20.24,39792,0.42,0.48,2.08,2.4,0.24,1
2023-05-04,20.32,20.32,19.5,19.55,93794,-0.77,0.82,-3.94,4.19,0.41,-1
2023-05-03,21.15,21.37,20.49,20.49,56147,-0.66,0.88,-3.22,4.31,0.44,-1
2023-05-02,21.6,21.6,21.05,21.15,46680,-0.45,0.55,-2.13,2.6,0.27,-1
2023-05-01,21.72,21.84,21.53,21.72,33400,0.0,0.31,0.0,1.41,0.15,1
2023-04-28,21.71,21.96,21.68,21.69,135824,-0.02,0.28,-0.09,1.29,0.14,-1
2023-04-27,21.69,21.86,21.46,21.84,45423,0.15,0.4,0.69,1.83,0.2,1
2023-04-26,21.56,21.88,21.47,21.52,42105,-0.04,0.41,-0.19,1.91,0.21,1
2023-04-25,21.81,21.95,21.45,21.45,45045,-0.36,0.5,-1.68,2.33,0.25,-1
2023-04-24,21.78,21.97,21.54,21.76,30915,-0.02,0.43,-0.09,1.99,0.22,-1
2023-04-21,21.88,22.0,21.66,21.8,53320,-0.08,0.34,-0.37,1.56,0.17,1
2023-04-20,21.68,21.88,21.5,21.68,35448,0.0,0.38,0.0,1.76,0.19,-1
2023-04-19,21.38,21.75,21.25,21.75,42757,0.37,0.5,1.7,2.28,0.25,1
2023-04-18,21.71,21.71,21.45,21.58,39604,-0.13,0.26,-0.6,1.2,0.13,1
2023-04-17,21.76,21.88,21.52,21.52,61074,-0.24,0.36,-1.12,1.67,0.18,-1
2023-04-14,22.08,22.08,21.58,21.66,49646,-0.42,0.5,-1.94,2.31,0.25,-1
2023-04-13,21.9,22.1,21.75,22.08,49569,0.18,0.35,0.82,1.58,0.17,1
2023-04-12,22.5,22.61,21.61,21.64,56879,-0.86,1.0,-3.97,4.61,0.5,-1
2023-04-11,21.74,22.6,21.64,22.56,64226,0.82,0.96,3.63,4.26,0.48,1
2023-04-10,21.92,22.01,21.59,21.84,39385,-0.08,0.42,-0.37,1.92,0.21,-1
2023-04-06,21.94,22.08,21.7,21.93,38173,-0.01,0.38,-0.06,1.73,0.19,1
2023-04-05,22.05,22.09,21.7,21.84,27996,-0.21,0.39,-0.96,1.78,0.19,-1
2023-04-04,21.85,22.07,21.68,22.06,50320,0.21,0.39,0.95,1.77,0.2,1
2023-04-03,21.79,22.33,21.67,22.02,65539,0.23,0.66,1.04,3.0,0.33,1
2023-03-31,22.0,22.36,21.75,21.75,271397,-0.25,0.61,-1.15,2.8,0.3,-1
2023-03-30,21.29,22.03,21.09,22.03,79714,0.74,0.94,3.36,4.27,0.47,1
2023-03-29,21.02,21.29,20.96,21.13,69799,0.11,0.33,0.52,1.56,0.16,1
2023-03-28,20.84,20.96,20.65,20.81,31173,-0.03,0.31,-0.14,1.49,0.15,1
2023-03-27,21.01,21.18,20.63,20.71,109169,-0.3,0.55,-1.45,2.66,0.28,-1
2023-03-24,20.56,20.77,20.25,20.77,46847,0.21,0.52,1.01,2.5,0.26,1
2023-03-23,20.81,21.17,20.31,20.58,39940,-0.23,0.86,-1.12,4.18,0.43,-1
2023-03-22,21.21,21.21,20.57,20.65,64251,-0.56,0.64,-2.71,3.1,0.32,-1
2023-03-21,20.42,21.19,20.33,21.01,69852,0.59,0.86,2.81,4.09,0.43,1
2023-03-20,20.18,20.64,20.02,20.18,81086,0.0,0.61,0.0,3.03,0.31,1
2023-03-17,20.75,20.75,19.84,20.01,69117,-0.74,0.91,-3.7,4.55,0.46,-1
2023-03-16,20.79,20.96,20.47,20.73,187463,-0.06,0.49,-0.29,2.38,0.25,-1
2023-03-15,22.1,22.1,20.7,20.75,118884,-1.35,1.4,-6.51,6.75,0.7,-1
2023-03-14,21.55,22.69,21.55,22.2,99671,0.65,1.14,2.93,5.14,0.57,1
2023-03-13,22.5,23.52,21.18,21.53,150126,-0.97,2.34,-4.51,10.85,1.17,-1
2023-03-10,23.68,23.99,22.99,23.05,37302,-0.63,1.0,-2.73,4.34,0.5,-1
2023-03-09,24.73,24.73,23.8,23.82,31280,-0.91,0.93,-3.82,3.9,0.46,-1
2023-03-08,24.77,24.77,24.58,24.61,12249,-0.16,0.19,-0.65,0.77,0.1,-1
2023-03-07,24.58,24.73,24.58,24.64,28645,0.06,0.15,0.24,0.61,0.08,-1
2023-03-06,25.28,25.28,24.64,24.66,41687,-0.62,0.64,-2.51,2.6,0.32,-1
2023-03-03,25.11,25.16,24.92,25.0,129424,-0.11,0.23,-0.44,0.94,0.12,1
2023-03-02,24.66,24.97,24.55,24.97,20181,0.31,0.42,1.24,1.69,0.21,1
2023-03-01,24.89,24.89,24.45,24.75,22116,-0.14,0.44,-0.57,1.78,0.22,1
2023-02-28,25.19,25.19,24.67,24.73,97541,-0.46,0.52,-1.86,2.1,0.26,-1
2023-02-27,25.14,25.21,24.84,25.21,23890,0.07,0.37,0.28,1.47,0.19,1
2023-02-24,24.73,25.01,24.58,24.97,25768,0.24,0.43,0.96,1.72,0.21,1
2023-02-23,24.68,24.97,24.45,24.81,28158,0.13,0.52,0.52,2.1,0.26,1
2023-02-22,24.25,24.76,24.25,24.63,19619,0.38,0.51,1.54,2.07,0.25,1
2023-02-21,25.03,25.03,24.14,24.19,33860,-0.84,0.89,-3.47,3.68,0.45,-1
2023-02-17,24.98,25.08,24.86,25.08,24129,0.1,0.23,0.4,0.9,0.11,1
2023-02-16,25.01,25.12,24.9,24.99,32109,-0.02,0.22,-0.08,0.87,0.11,-1
2023-02-15,25.24,25.25,24.95,25.1,21792,-0.14,0.3,-0.56,1.2,0.15,-1
2023-02-14,25.13,25.26,25.03,25.16,28061,0.03,0.23,0.12,0.93,0.12,1
2023-02-13,25.08,25.14,24.84,25.14,29536,0.06,0.3,0.24,1.19,0.15,1
2023-02-10,24.84,25.08,24.59,24.92,24976,0.08,0.49,0.32,1.97,0.24,1
2023-02-09,25.01,25.16,24.6,24.69,39513,-0.32,0.56,-1.3,2.27,0.28,-1
2023-02-08,24.91,25.0,24.57,25.0,33115,0.09,0.43,0.36,1.72,0.21,1
2023-02-07,24.93,24.94,24.48,24.84,44791,-0.09,0.46,-0.36,1.85,0.23,1
2023-02-06,24.89,24.97,24.69,24.82,24063,-0.07,0.28,-0.3,1.14,0.14,-1
2023-02-03,25.53,25.54,24.82,24.84,36140,-0.69,0.72,-2.78,2.89,0.36,-1
2023-02-02,25.83,25.91,25.4,25.6,68481,-0.23,0.51,-0.9,1.99,0.26,-1
2023-02-01,25.42,25.83,25.32,25.83,112809,0.41,0.51,1.59,1.97,0.25,1
