Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-07-14,88.73,88.73,85.74,86.45,128106,-2.28,2.99,-2.64,3.46,1.5,82.63,84.56,0.56,0.08,0.48,7682025,0.49,58.33,30.0,1.0,28.33,Weak Buy Signal,90.17,82.63,75.1,0.18,49.78,Target Volume,Expected Range,9.42,Absent or Weak Trend
2023-07-13,87.79,89.31,86.75,88.05,137799,0.26,2.56,0.3,2.91,1.28,82.52,84.5,0.45,-0.04,0.49,7810131,1.05,60.0,31.67,1.0,28.33,Weak Buy Signal,90.03,82.52,75.01,0.18,50.79,Target Volume,Expected Range,9.57,Absent or Weak Trend
2023-07-12,86.5,87.39,85.92,87.3,181891,0.8,1.47,0.92,1.69,0.74,82.42,84.38,0.14,-0.16,0.3,7672332,1.9,61.67,33.33,1.0,28.33,Weak Buy Signal,89.79,82.42,75.06,0.18,50.33,Target Volume,Expected Range,9.72,Absent or Weak Trend
2023-07-11,85.03,85.66,84.44,85.1,107915,0.07,1.22,0.08,1.44,0.61,82.3,84.28,-0.19,-0.23,0.05,7490441,4.65,63.33,35.0,1.0,28.33,Weak Buy Signal,89.58,82.3,75.03,0.18,48.93,Target Volume,Expected Range,9.85,Absent or Weak Trend
2023-07-10,83.05,85.45,83.05,84.65,189182,1.6,2.4,1.89,2.84,1.2,82.25,84.25,-0.38,-0.25,-0.13,7382526,4.99,65.0,36.67,1.0,28.33,Weak Buy Signal,89.49,82.25,75.01,0.18,48.64,Target Volume,Expected Range,9.94,Absent or Weak Trend
2023-07-07,81.53,84.36,80.75,83.35,433061,1.82,3.61,2.18,4.33,1.8,82.19,84.24,-0.56,-0.21,-0.35,7193344,6.76,66.67,38.33,1.0,28.33,Weak Buy Signal,89.41,82.19,74.97,0.18,47.8,Target Volume,Expected Range,10.02,Absent or Weak Trend
2023-07-06,81.16,81.78,79.76,81.45,275058,0.29,2.02,0.36,2.48,1.01,82.17,84.27,-0.66,-0.12,-0.54,6760283,11.1,68.33,40.0,1.0,28.33,Weak Buy Signal,89.38,82.17,74.95,0.18,46.54,Target Volume,Expected Range,10.08,Absent or Weak Trend
2023-07-05,81.51,82.66,80.55,82.17,267325,0.66,2.12,0.8,2.57,1.06,82.18,84.36,-0.59,0.01,-0.6,7035341,10.0,70.0,41.67,1.0,28.33,Weak Buy Signal,89.39,82.18,74.97,0.18,46.97,Target Volume,Expected Range,10.06,Absent or Weak Trend
2023-07-03,80.75,82.84,80.75,82.2,178499,1.45,2.09,1.76,2.54,1.05,82.17,84.44,-0.55,0.16,-0.71,7302666,9.72,71.67,43.33,1.0,28.33,Weak Buy Signal,89.38,82.17,74.96,0.18,46.98,Target Volume,Expected Range,10.06,Absent or Weak Trend
2023-06-30,82.86,83.0,80.55,80.78,268399,-2.08,2.45,-2.57,3.03,1.23,82.14,84.51,-0.51,0.34,-0.84,7124167,9.72,73.33,45.0,1.0,28.33,Weak Buy Signal,89.37,82.14,74.91,0.18,46.05,Target Volume,Expected Range,10.07,Absent or Weak Trend
