Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-18,71.19,71.87,71.13,71.39,1178275,0.2,0.74,0.28,1.04,0.37,1
2023-08-17,72.56,72.57,71.07,71.26,1468142,-1.3,1.5,-1.82,2.1,0.75,-1
2023-08-16,70.43,72.49,70.43,72.33,1366519,1.9,2.06,2.63,2.85,1.03,1
2023-08-15,71.02,71.12,70.53,70.59,794364,-0.43,0.59,-0.61,0.84,0.3,-1
2023-08-14,70.94,71.52,70.79,71.25,707584,0.31,0.73,0.44,1.02,0.36,1
2023-08-11,70.32,70.88,70.15,70.78,757259,0.46,0.72,0.65,1.02,0.36,1
2023-08-10,70.97,71.28,70.17,70.44,717675,-0.53,1.11,-0.75,1.58,0.55,-1
2023-08-09,70.55,71.12,70.24,70.64,753731,0.09,0.88,0.13,1.25,0.44,1
2023-08-08,71.14,71.46,70.17,70.24,1078524,-0.9,1.29,-1.28,1.84,0.64,-1
2023-08-07,70.53,71.2,70.02,71.14,728634,0.61,1.18,0.86,1.66,0.59,1
2023-08-04,70.71,71.13,69.91,70.0,847465,-0.71,1.22,-1.01,1.74,0.61,-1
2023-08-03,70.39,70.97,70.35,70.62,871136,0.23,0.62,0.33,0.88,0.31,-1
2023-08-02,69.73,70.82,69.73,70.72,1301247,0.99,1.09,1.4,1.54,0.54,1
2023-08-01,70.08,70.61,69.82,70.0,1661798,-0.08,0.78,-0.11,1.12,0.39,-1
2023-07-31,70.4,70.75,70.14,70.45,1177459,0.05,0.61,0.07,0.87,0.3,-1
2023-07-28,71.34,71.58,70.04,70.59,1011545,-0.75,1.53,-1.06,2.17,0.77,1
2023-07-27,71.78,71.78,70.47,70.56,1010575,-1.22,1.31,-1.73,1.86,0.66,-1
2023-07-26,72.75,72.75,71.27,71.65,1255296,-1.1,1.48,-1.54,2.07,0.74,-1
2023-07-25,72.28,72.99,71.94,72.47,1557497,0.19,1.05,0.26,1.45,0.52,1
2023-07-24,71.08,71.27,70.54,70.63,1624318,-0.45,0.73,-0.64,1.03,0.36,-1
2023-07-21,71.34,71.57,71.05,71.2,1661347,-0.14,0.52,-0.2,0.73,0.26,1
2023-07-20,69.7,71.03,69.65,71.03,914882,1.33,1.38,1.87,1.94,0.69,1
2023-07-19,69.54,69.92,69.33,69.63,900287,0.09,0.59,0.13,0.85,0.3,-1
2023-07-18,69.64,70.08,69.49,69.73,982093,0.09,0.59,0.13,0.84,0.29,-1
2023-07-17,69.0,70.28,68.97,69.89,1117301,0.89,1.31,1.27,1.87,0.66,1
2023-07-14,68.69,68.81,68.13,68.72,824001,0.03,0.68,0.04,0.99,0.34,1
2023-07-13,68.53,68.78,68.06,68.53,939855,0.0,0.72,0.0,1.05,0.36,-1
2023-07-12,69.79,69.93,68.51,68.66,1151513,-1.13,1.42,-1.65,2.07,0.71,-1
2023-07-11,68.77,69.54,68.73,69.44,1371716,0.67,0.81,0.96,1.17,0.41,1
2023-07-10,68.02,69.18,67.81,68.67,870003,0.65,1.37,0.95,1.99,0.68,1
2023-07-07,67.32,68.59,67.24,67.8,1375056,0.48,1.35,0.71,1.99,0.68,1
2023-07-06,67.24,67.56,66.8,67.35,1794630,0.11,0.76,0.16,1.13,0.38,-1
2023-07-05,66.89,67.57,66.84,67.42,1168030,0.53,0.73,0.79,1.08,0.36,-1
2023-07-03,68.4,68.6,66.53,67.42,924045,-0.98,2.07,-1.45,3.06,1.03,-1
2023-06-30,68.05,69.25,68.05,68.84,1373457,0.79,1.2,1.15,1.74,0.6,1
2023-06-29,66.81,67.78,66.61,67.69,1205023,0.88,1.17,1.3,1.73,0.59,1
2023-06-28,66.76,67.04,66.23,66.8,996140,0.04,0.81,0.06,1.22,0.41,-1
2023-06-27,66.41,67.31,66.31,66.82,1254031,0.41,1.0,0.61,1.5,0.5,1
2023-06-26,66.39,66.8,65.98,66.41,1003059,0.02,0.82,0.03,1.23,0.41,-1
2023-06-23,66.22,67.27,66.13,66.43,3541599,0.21,1.14,0.32,1.72,0.57,1
2023-06-22,66.63,66.63,65.68,66.01,932952,-0.62,0.95,-0.94,1.44,0.47,-1
2023-06-21,66.11,66.48,65.52,66.4,1253941,0.29,0.97,0.44,1.45,0.48,1
2023-06-20,66.0,66.77,65.75,66.05,1180146,0.05,1.02,0.08,1.54,0.51,-1
2023-06-16,66.09,66.7,66.0,66.25,1947887,0.16,0.7,0.24,1.06,0.35,1
2023-06-15,64.62,66.24,64.5,66.05,1196154,1.43,1.74,2.17,2.63,0.87,1
2023-06-14,64.5,64.96,64.07,64.6,910809,0.1,0.89,0.15,1.38,0.45,1
2023-06-13,64.2,64.74,63.93,64.5,1215422,0.3,0.81,0.47,1.26,0.4,1
2023-06-12,64.0,64.42,63.36,64.31,827599,0.31,1.05,0.48,1.64,0.53,1
