Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-07,12.06,12.65,12.02,12.64,35173,0.58,0.63,4.59,4.97,0.31,1
2023-07-06,11.65,12.73,11.5,12.49,25546,0.84,1.23,6.73,9.85,0.62,1
2023-07-05,11.34,12.0,11.34,11.79,20283,0.45,0.66,3.82,5.6,0.33,1
2023-07-03,11.19,11.65,10.52,11.49,12542,0.3,1.13,2.61,9.87,0.57,1
2023-06-30,11.51,11.8,10.58,11.2,39066,-0.31,1.22,-2.77,10.89,0.61,-1
2023-06-29,10.47,11.88,10.32,11.88,97814,1.41,1.56,11.87,13.13,0.78,1
2023-06-28,10.39,10.87,10.25,10.47,22948,0.08,0.62,0.76,5.97,0.31,-1
2023-06-27,10.85,10.85,10.2,10.54,117769,-0.31,0.65,-2.94,6.17,0.33,-1
2023-06-26,11.3,11.3,10.79,11.0,33968,-0.3,0.51,-2.73,4.64,0.26,-1
2023-06-23,11.51,11.79,11.0,11.37,33350,-0.14,0.79,-1.23,6.97,0.4,-1
2023-06-22,10.53,11.73,10.5,11.41,95860,0.88,1.23,7.71,10.78,0.62,1
2023-06-21,10.74,11.0,10.5,10.88,107508,0.14,0.5,1.29,4.59,0.25,1
2023-06-20,10.6,12.85,9.92,10.73,388415,0.13,2.93,1.21,27.3,1.46,-1
2023-06-16,8.46,11.6,7.56,11.41,712299,2.95,4.04,25.85,35.41,2.02,1
2023-06-15,7.45,9.68,7.18,7.56,214441,0.11,2.5,1.46,33.07,1.25,1
2023-06-14,7.4,7.52,7.24,7.48,118050,0.08,0.28,1.07,3.75,0.14,1
2023-06-13,6.02,7.48,5.83,7.4,344990,1.38,1.65,18.65,22.3,0.83,1
2023-06-12,5.11,6.5,5.09,6.24,225785,1.13,1.41,18.11,22.6,0.7,1
2023-06-09,5.08,5.24,5.04,5.05,19991,-0.03,0.2,-0.6,3.96,0.1,1
2023-06-08,5.01,5.07,4.88,5.01,9406,0.0,0.19,0.0,3.8,0.1,1
2023-06-07,5.11,5.22,4.85,4.99,36986,-0.12,0.37,-2.35,7.41,0.19,-1
2023-06-06,4.65,5.17,4.65,5.17,56703,0.52,0.52,10.06,10.06,0.26,1
2023-06-05,5.12,5.16,4.75,4.83,183627,-0.29,0.41,-6.0,8.49,0.21,-1
2023-06-02,4.9,5.26,4.85,4.85,10545,-0.05,0.41,-1.03,8.45,0.21,-1
2023-06-01,4.94,5.25,4.85,5.03,5878,0.09,0.4,1.79,7.95,0.2,1
2023-05-31,5.06,5.48,4.6,4.92,42267,-0.14,0.88,-2.85,17.89,0.44,-1
2023-05-30,5.27,5.48,5.01,5.03,30787,-0.24,0.47,-4.77,9.34,0.24,-1
2023-05-26,5.08,5.28,4.94,5.12,10696,0.04,0.34,0.78,6.64,0.17,1
2023-05-25,5.0,5.04,4.93,4.93,1937,-0.07,0.11,-1.42,2.23,0.06,-1
