Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-07,44.42,44.7,42.1,44.33,1069333,-0.09,2.61,-0.2,5.88,1.3,-1
2023-07-06,46.38,46.38,44.56,44.87,393772,-1.51,1.82,-3.37,4.06,0.91,-1
2023-07-05,47.97,48.5,46.88,47.24,316493,-0.73,1.62,-1.55,3.42,0.81,-1
2023-07-03,46.82,48.5,46.82,48.5,169454,1.68,1.68,3.46,3.46,0.84,1
2023-06-30,49.0,49.0,46.86,46.88,236813,-2.12,2.14,-4.52,4.56,1.07,-1
2023-06-29,48.52,49.45,47.83,48.57,338658,0.05,1.62,0.1,3.34,0.81,1
2023-06-28,48.9,48.9,47.25,48.1,278268,-0.8,1.65,-1.66,3.43,0.82,1
2023-06-27,47.33,48.29,46.78,47.7,299487,0.37,1.51,0.78,3.17,0.75,1
2023-06-26,46.89,47.84,46.74,47.1,408903,0.21,1.1,0.45,2.34,0.55,1
2023-06-23,46.63,47.39,46.24,46.82,678464,0.19,1.15,0.41,2.46,0.57,-1
2023-06-22,49.07,49.07,47.08,47.3,391039,-1.77,1.99,-3.74,4.21,1.0,-1
2023-06-21,50.21,50.66,49.07,49.1,275470,-1.11,1.59,-2.26,3.24,0.79,-1
2023-06-20,51.84,51.84,50.27,50.5,432169,-1.34,1.57,-2.65,3.11,0.79,-1
2023-06-16,52.04,52.05,50.24,51.88,980781,-0.16,1.81,-0.31,3.49,0.91,1
2023-06-15,50.46,52.02,50.46,51.48,339997,1.02,1.56,1.98,3.03,0.78,1
2023-06-14,51.59,52.16,50.15,50.7,382098,-0.89,2.01,-1.76,3.96,1.0,-1
2023-06-13,51.02,52.44,50.52,52.0,420568,0.98,1.91,1.88,3.68,0.96,1
2023-06-12,54.35,55.5,50.33,50.74,567750,-3.61,5.17,-7.11,10.19,2.59,-1
2023-06-09,54.02,54.49,53.54,54.42,203386,0.4,0.95,0.74,1.74,0.47,1
2023-06-08,54.68,54.68,52.94,54.32,210799,-0.36,1.74,-0.66,3.2,0.87,-1
2023-06-07,53.95,55.64,53.41,54.89,350027,0.94,2.23,1.71,4.06,1.12,1
2023-06-06,52.18,55.04,51.7,53.42,364760,1.24,3.34,2.32,6.25,1.67,1
2023-06-05,52.35,52.35,50.58,51.12,240100,-1.23,1.77,-2.41,3.46,0.89,-1
2023-06-02,50.99,53.32,50.89,53.05,345546,2.06,2.43,3.88,4.58,1.21,1
2023-06-01,49.85,50.88,49.06,50.1,215580,0.25,1.81,0.5,3.62,0.91,1
2023-05-31,50.33,50.6,48.49,49.44,269586,-0.89,2.11,-1.8,4.26,1.05,-1
2023-05-30,49.77,50.64,49.06,50.63,194083,0.86,1.58,1.7,3.12,0.79,1
2023-05-26,48.58,49.76,47.97,49.54,165515,0.96,1.8,1.94,3.62,0.9,1
2023-05-25,48.68,49.1,47.6,48.65,241917,-0.03,1.5,-0.06,3.08,0.75,-1
2023-05-24,49.73,49.73,48.77,49.01,153675,-0.72,0.96,-1.47,1.96,0.48,-1
2023-05-23,49.41,50.81,49.26,49.69,255958,0.28,1.55,0.56,3.12,0.78,1
2023-05-22,48.02,49.72,47.73,49.66,306853,1.64,1.99,3.3,4.01,1.0,1
2023-05-19,48.94,49.32,46.76,47.79,290345,-1.15,2.55,-2.41,5.35,1.28,-1
2023-05-18,47.69,48.91,47.43,48.56,260390,0.87,1.48,1.79,3.05,0.74,1
2023-05-17,46.77,48.51,46.1,48.4,366125,1.63,2.41,3.37,4.98,1.2,1
2023-05-16,46.51,46.71,45.69,45.69,177602,-0.82,1.02,-1.79,2.23,0.51,-1
2023-05-15,45.32,46.69,44.97,46.54,200185,1.22,1.72,2.62,3.7,0.86,1
2023-05-12,45.13,45.24,44.26,45.22,272968,0.09,0.98,0.2,2.17,0.49,1
2023-05-11,45.8,46.0,44.83,44.86,406345,-0.94,1.17,-2.1,2.61,0.59,-1
2023-05-10,47.59,47.71,45.78,46.48,203056,-1.11,1.93,-2.39,4.14,0.96,-1
2023-05-09,47.0,47.61,46.29,46.72,227676,-0.28,1.32,-0.6,2.83,0.66,-1
2023-05-08,49.0,49.3,47.13,47.51,214976,-1.49,2.17,-3.14,4.57,1.08,-1
2023-05-05,48.7,48.79,47.49,48.54,395897,-0.16,1.3,-0.33,2.68,0.65,1
2023-05-04,46.87,48.3,46.3,47.33,697875,0.46,2.0,0.97,4.22,1.0,-1
2023-05-03,47.49,49.88,47.49,48.44,805322,0.95,2.39,1.96,4.94,1.2,1
2023-05-02,48.36,48.36,45.91,47.5,751849,-0.86,2.45,-1.81,5.16,1.23,-1
2023-05-01,49.65,49.88,48.54,48.77,360338,-0.88,1.35,-1.8,2.76,0.67,-1
2023-04-28,48.64,50.49,48.41,49.96,2862520,1.32,2.08,2.64,4.16,1.04,1
2023-04-27,46.57,48.9,46.54,48.84,667636,2.27,2.35,4.65,4.82,1.18,1
2023-04-26,45.53,46.92,45.53,46.5,630616,0.97,1.39,2.09,2.99,0.7,1
2023-04-25,47.0,48.25,45.72,46.15,572668,-0.85,2.53,-1.84,5.49,1.27,-1
2023-04-24,47.08,47.93,47.08,47.2,358920,0.12,0.85,0.25,1.8,0.43,-1
2023-04-21,48.22,48.22,47.1,47.3,487030,-0.92,1.12,-1.95,2.37,0.56,-1
2023-04-20,48.18,48.45,47.74,48.26,395350,0.08,0.71,0.17,1.47,0.36,-1
2023-04-19,47.78,49.03,47.3,48.56,188382,0.78,1.73,1.61,3.57,0.87,1
2023-04-18,49.58,49.69,47.22,47.47,376461,-2.11,2.46,-4.43,5.19,1.23,-1
2023-04-17,47.38,49.48,46.9,49.44,363455,2.06,2.58,4.17,5.22,1.29,1
2023-04-14,49.46,49.92,46.89,47.42,353071,-2.04,3.03,-4.3,6.39,1.52,-1
2023-04-13,48.41,49.22,47.98,48.91,209132,0.5,1.23,1.02,2.51,0.62,1
2023-04-12,49.56,49.56,48.16,48.3,213775,-1.26,1.4,-2.61,2.9,0.7,-1
2023-04-11,49.98,50.13,49.13,49.21,373681,-0.77,1.0,-1.56,2.03,0.5,-1
2023-04-10,49.03,50.3,48.74,49.61,359336,0.58,1.56,1.17,3.14,0.78,1
2023-04-06,49.34,49.55,48.68,49.15,290467,-0.19,0.87,-0.39,1.77,0.43,-1
2023-04-05,49.76,50.15,49.02,49.43,402964,-0.33,1.13,-0.67,2.29,0.56,-1
2023-04-04,51.84,51.84,49.57,50.34,263032,-1.5,2.27,-2.98,4.51,1.14,-1
2023-04-03,52.54,52.81,51.26,51.72,218685,-0.82,1.55,-1.59,3.0,0.78,-1
2023-03-31,52.05,52.77,51.83,52.49,348816,0.44,0.94,0.84,1.79,0.47,1
2023-03-30,53.42,53.42,51.42,51.8,258124,-1.62,2.0,-3.13,3.86,1.0,-1
2023-03-29,53.87,53.93,52.27,53.09,212709,-0.78,1.66,-1.47,3.13,0.83,-1
2023-03-28,52.78,53.58,52.52,53.32,235662,0.54,1.06,1.01,1.99,0.53,1
2023-03-27,54.23,54.23,53.02,53.06,284539,-1.17,1.21,-2.21,2.28,0.6,-1
2023-03-24,51.33,53.62,50.96,53.26,331179,1.93,2.66,3.62,4.98,1.33,1
2023-03-23,53.3,53.84,51.61,51.82,283022,-1.48,2.23,-2.86,4.3,1.12,-1
2023-03-22,55.83,55.83,53.04,53.16,318938,-2.67,2.79,-5.02,5.25,1.39,-1
2023-03-21,55.7,56.99,55.07,55.76,375182,0.06,1.92,0.11,3.44,0.96,1
2023-03-20,54.77,55.74,53.88,54.21,380049,-0.56,1.86,-1.03,3.43,0.93,1
