Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-07-06,46.38,46.38,44.56,44.87,393772,-1.51,1.82,-3.37,4.06,0.91,48.51,49.7,-0.85,-0.4,-0.45,18362882,16.59,68.33,40.0,1.0,28.33,Weak Buy Signal,52.96,48.51,44.05,0.18,44.13,Target Volume,Expected Range,13.04,Absent or Weak Trend
2023-07-05,47.97,48.5,46.88,47.24,316493,-0.73,1.62,-1.55,3.42,0.81,48.58,49.86,-0.62,-0.29,-0.33,18756654,12.3,70.0,41.67,1.0,28.33,Weak Buy Signal,52.93,48.58,44.22,0.18,45.87,Target Volume,Expected Range,12.98,Absent or Weak Trend
2023-07-03,46.82,48.5,46.82,48.5,169454,1.68,1.68,3.46,3.46,0.84,48.6,49.95,-0.55,-0.21,-0.34,19073147,12.3,71.67,43.33,1.0,28.33,Weak Buy Signal,52.94,48.6,44.26,0.18,46.84,Target Volume,Expected Range,12.99,Absent or Weak Trend
2023-06-30,49.0,49.0,46.86,46.88,236813,-2.12,2.14,-4.52,4.56,1.07,48.61,50.0,-0.58,-0.12,-0.46,18903693,12.23,73.33,45.0,1.0,28.33,Weak Buy Signal,52.95,48.61,44.27,0.18,45.38,Target Volume,Expected Range,13.0,Absent or Weak Trend
2023-06-29,48.52,49.45,47.83,48.57,338658,0.05,1.62,0.1,3.34,0.81,48.66,50.11,-0.45,-0.01,-0.44,19140506,10.39,75.0,46.67,1.0,28.33,Weak Buy Signal,52.99,48.66,44.33,0.18,46.69,Target Volume,Expected Range,13.02,Absent or Weak Trend
2023-06-28,48.9,48.9,47.25,48.1,278268,-0.8,1.65,-1.66,3.43,0.82,48.71,50.16,-0.45,0.1,-0.55,18801848,11.69,76.67,48.33,1.0,28.33,Weak Buy Signal,53.09,48.71,44.33,0.18,46.27,Target Volume,Expected Range,13.06,Absent or Weak Trend
2023-06-27,47.33,48.29,46.78,47.7,299487,0.37,1.51,0.78,3.17,0.75,48.77,50.23,-0.4,0.24,-0.64,18523580,13.15,78.33,50.0,1.0,28.33,Weak Buy Signal,53.23,48.77,44.31,0.18,45.91,Target Volume,Expected Range,13.08,Absent or Weak Trend
2023-06-26,46.89,47.84,46.74,47.1,408903,0.21,1.1,0.45,2.34,0.55,48.83,50.31,-0.28,0.4,-0.68,18224093,14.22,80.0,51.67,1.0,28.33,Weak Buy Signal,53.33,48.83,44.33,0.18,45.37,Target Volume,Expected Range,13.08,Absent or Weak Trend
2023-06-23,46.63,47.39,46.24,46.82,678464,0.19,1.15,0.41,2.46,0.57,48.92,50.42,-0.07,0.57,-0.64,17815190,15.3,81.67,53.33,1.0,28.33,Weak Buy Signal,53.5,48.92,44.35,0.19,45.12,Target Volume,Expected Range,13.06,Absent or Weak Trend
2023-06-22,49.07,49.07,47.08,47.3,391039,-1.77,1.99,-3.74,4.21,1.0,49.03,50.55,0.23,0.73,-0.5,18493654,13.81,83.33,55.0,1.0,28.33,Weak Buy Signal,53.68,49.03,44.37,0.19,45.47,Target Volume,Expected Range,13.02,Absent or Weak Trend
2023-06-21,50.21,50.66,49.07,49.1,275470,-1.11,1.59,-2.26,3.24,0.79,49.11,50.66,0.56,0.86,-0.29,18884693,10.11,85.0,56.67,1.0,28.33,Weak Buy Signal,53.84,49.11,44.39,0.19,46.82,Target Volume,Expected Range,13.01,Absent or Weak Trend
2023-06-20,51.84,51.84,50.27,50.5,432169,-1.34,1.57,-2.65,3.11,0.79,49.18,50.71,0.8,0.93,-0.13,19160163,7.76,86.67,58.33,1.0,28.33,Weak Buy Signal,53.99,49.18,44.36,0.2,47.91,Target Volume,Expected Range,13.06,Absent or Weak Trend
2023-06-16,52.04,52.05,50.24,51.88,980781,-0.16,1.81,-0.31,3.49,0.91,49.19,50.72,0.94,0.96,-0.02,19592332,7.76,0.0,60.0,-1.0,-60.0,Weak Sell Signal,54.03,49.19,44.35,0.2,49.01,Target Volume,Expected Range,13.15,Absent or Weak Trend
2023-06-15,50.46,52.02,50.46,51.48,339997,1.02,1.56,1.98,3.03,0.78,49.2,50.68,0.97,0.97,-0.0,18611551,7.34,0.0,61.67,-1.0,-61.67,Weak Sell Signal,54.08,49.2,44.33,0.2,48.67,Target Volume,Expected Range,13.24,Absent or Weak Trend
2023-06-14,51.59,52.16,50.15,50.7,382098,-0.89,2.01,-1.76,3.96,1.0,49.27,50.65,1.03,0.97,0.06,18271554,7.34,1.67,63.33,-1.0,-61.67,Weak Sell Signal,54.35,49.27,44.19,0.21,48.02,Target Volume,Expected Range,13.34,Absent or Weak Trend
2023-06-13,51.02,52.44,50.52,52.0,420568,0.98,1.91,1.88,3.68,0.96,49.32,50.65,1.17,0.95,0.22,18653652,7.71,3.33,65.0,-1.0,-61.67,Weak Sell Signal,54.52,49.32,44.12,0.21,48.69,Target Volume,Expected Range,13.44,Absent or Weak Trend
2023-06-12,54.35,55.5,50.33,50.74,567750,-3.61,5.17,-7.11,10.19,2.59,49.35,50.62,1.25,0.9,0.35,18233084,7.71,0.0,66.67,-1.0,-66.67,Weak Sell Signal,54.62,49.35,44.08,0.21,47.63,Target Volume,Expected Range,13.54,Absent or Weak Trend
2023-06-09,54.02,54.49,53.54,54.42,203386,0.4,0.95,0.74,1.74,0.47,49.44,50.63,1.46,0.81,0.65,18800834,1.49,1.67,68.33,-1.0,-66.67,Weak Sell Signal,54.98,49.44,43.9,0.22,50.62,Target Volume,Expected Range,13.64,Absent or Weak Trend
