Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-01,23.72,23.79,22.99,23.13,36811,-0.59,0.8,-2.55,3.46,0.4,-1
2023-07-31,23.42,23.78,23.38,23.75,135270,0.33,0.4,1.39,1.68,0.2,1
2023-07-28,23.6,24.07,23.26,23.42,16262,-0.18,0.81,-0.77,3.46,0.4,-1
2023-07-27,23.99,23.99,23.04,23.45,65844,-0.54,0.95,-2.3,4.04,0.47,-1
2023-07-26,23.2,23.83,23.01,23.83,33174,0.63,0.82,2.64,3.45,0.41,1
2023-07-25,22.88,23.15,22.75,23.15,38523,0.27,0.4,1.17,1.73,0.2,1
2023-07-24,22.7,23.0,22.7,22.75,106527,0.05,0.3,0.22,1.3,0.15,1
2023-07-21,22.55,22.7,22.5,22.64,26682,0.09,0.2,0.4,0.87,0.1,1
2023-07-20,22.55,22.82,22.32,22.61,25351,0.06,0.5,0.27,2.23,0.25,1
2023-07-19,22.28,23.0,22.28,22.6,23494,0.32,0.72,1.42,3.19,0.36,1
2023-07-18,22.13,22.56,22.13,22.3,29312,0.17,0.43,0.76,1.93,0.21,1
2023-07-17,22.45,22.45,22.2,22.24,43591,-0.21,0.25,-0.94,1.12,0.12,-1
2023-07-14,22.79,22.79,22.14,22.36,30547,-0.43,0.65,-1.93,2.91,0.32,-1
2023-07-13,22.51,22.73,22.5,22.5,23647,-0.01,0.23,-0.04,1.02,0.11,-1
2023-07-12,22.9,22.9,22.5,22.74,19137,-0.16,0.4,-0.7,1.76,0.2,1
2023-07-11,22.55,22.78,22.32,22.55,24547,0.0,0.46,0.0,2.04,0.23,1
2023-07-10,22.59,22.6,22.4,22.41,23701,-0.18,0.2,-0.8,0.91,0.1,-1
2023-07-07,22.3,22.74,22.3,22.51,36023,0.21,0.44,0.93,1.95,0.22,1
2023-07-06,22.61,23.47,22.3,22.4,35285,-0.21,1.17,-0.94,5.22,0.58,-1
2023-07-05,23.35,23.46,22.64,22.67,54759,-0.68,0.82,-3.0,3.63,0.41,-1
2023-07-03,22.92,23.45,22.83,23.15,16776,0.23,0.62,0.99,2.68,0.31,1
2023-06-30,22.71,22.96,22.36,22.96,54870,0.25,0.6,1.09,2.61,0.3,1
2023-06-29,22.93,22.93,22.46,22.49,20538,-0.44,0.47,-1.96,2.09,0.23,-1
2023-06-28,22.5,22.98,22.5,22.65,449432,0.15,0.48,0.66,2.12,0.24,1
2023-06-27,22.92,22.92,22.31,22.56,21021,-0.36,0.61,-1.6,2.7,0.3,-1
2023-06-26,22.49,22.98,22.49,22.72,25518,0.23,0.49,1.01,2.16,0.24,1
2023-06-23,22.17,22.61,22.17,22.48,12629,0.31,0.44,1.38,1.96,0.22,1
2023-06-22,22.58,22.64,22.13,22.19,26812,-0.39,0.51,-1.76,2.29,0.25,-1
2023-06-21,22.58,22.69,22.12,22.55,19967,-0.03,0.57,-0.13,2.55,0.29,1
2023-06-20,22.1,22.38,22.1,22.35,18615,0.25,0.28,1.12,1.25,0.14,-1
2023-06-16,22.89,22.89,22.57,22.57,16116,-0.32,0.32,-1.42,1.42,0.16,-1
2023-06-15,22.51,22.93,22.51,22.72,24951,0.21,0.42,0.92,1.85,0.21,1
2023-06-14,22.8,23.08,22.5,22.61,39775,-0.19,0.58,-0.84,2.57,0.29,-1
2023-06-13,22.54,23.02,22.54,22.82,32027,0.28,0.48,1.23,2.08,0.24,1
2023-06-12,22.99,22.99,22.25,22.42,31885,-0.57,0.74,-2.54,3.3,0.37,-1
2023-06-09,23.24,23.24,22.7,22.88,34213,-0.36,0.54,-1.57,2.36,0.27,-1
2023-06-08,23.36,23.36,23.01,23.1,13010,-0.26,0.35,-1.13,1.52,0.17,-1
2023-06-07,23.49,23.49,23.16,23.2,13739,-0.29,0.33,-1.25,1.42,0.16,-1
2023-06-06,23.16,23.53,23.0,23.5,21642,0.34,0.53,1.45,2.27,0.27,1
2023-06-05,22.99,23.2,22.77,23.1,54426,0.11,0.43,0.48,1.86,0.21,1
2023-06-02,22.48,23.01,22.09,22.9,45375,0.42,0.92,1.83,4.02,0.46,1
2023-06-01,21.89,22.41,21.7,22.3,39286,0.41,0.71,1.84,3.18,0.35,1
2023-05-31,22.13,22.13,21.69,21.7,180898,-0.43,0.44,-1.98,2.03,0.22,-1
2023-05-30,21.78,22.12,21.6,22.12,38390,0.33,0.52,1.51,2.35,0.26,1
2023-05-26,21.65,21.79,21.23,21.57,23117,-0.08,0.56,-0.37,2.6,0.28,-1
2023-05-25,21.76,21.76,21.28,21.69,49977,-0.07,0.48,-0.32,2.21,0.24,1
2023-05-24,21.53,21.75,21.39,21.63,31114,0.1,0.36,0.46,1.66,0.18,1
2023-05-23,21.46,21.8,21.25,21.62,40557,0.16,0.55,0.74,2.54,0.27,1
2023-05-22,21.25,21.55,21.25,21.52,23074,0.27,0.3,1.25,1.39,0.15,1
2023-05-19,21.05,21.38,20.91,21.21,174941,0.16,0.47,0.75,2.22,0.23,1
2023-05-18,20.6,21.12,20.6,21.12,31430,0.52,0.52,2.46,2.46,0.26,1
2023-05-17,20.37,21.0,20.37,20.68,118761,0.31,0.63,1.5,3.05,0.31,1
2023-05-16,19.96,20.66,19.9,20.29,55466,0.33,0.76,1.63,3.75,0.38,1
2023-05-15,19.7,20.42,19.7,19.96,60249,0.26,0.72,1.3,3.61,0.36,1
2023-05-12,20.21,20.21,19.65,19.82,39999,-0.39,0.56,-1.97,2.83,0.28,-1
2023-05-11,19.8,20.24,19.64,19.9,85479,0.1,0.6,0.5,3.02,0.3,-1
2023-05-10,20.33,20.4,20.0,20.1,50267,-0.23,0.4,-1.14,1.99,0.2,1
2023-05-09,20.37,20.47,19.61,20.05,45710,-0.32,0.86,-1.6,4.29,0.43,-1
2023-05-08,20.56,20.81,20.25,20.25,56488,-0.31,0.56,-1.53,2.77,0.28,-1
2023-05-05,20.5,20.89,20.31,20.41,83030,-0.09,0.58,-0.44,2.84,0.29,1
2023-05-04,21.5,21.55,19.34,19.99,264113,-1.51,2.21,-7.55,11.06,1.11,-1
2023-05-03,22.37,22.57,21.89,22.02,77769,-0.35,0.68,-1.59,3.09,0.34,-1
2023-05-02,22.56,22.58,21.78,22.38,163533,-0.18,0.8,-0.8,3.57,0.4,-1
2023-05-01,22.95,22.95,22.6,22.7,87040,-0.25,0.35,-1.1,1.54,0.17,-1
2023-04-28,23.1,23.32,22.83,22.94,458695,-0.16,0.49,-0.7,2.14,0.25,-1
2023-04-27,23.24,23.24,22.94,23.01,51612,-0.23,0.3,-1.0,1.3,0.15,-1
2023-04-26,23.1,23.25,23.0,23.14,40724,0.04,0.25,0.17,1.08,0.12,1
2023-04-25,23.01,23.18,22.88,23.0,71793,-0.01,0.3,-0.04,1.3,0.15,-1
2023-04-24,23.04,23.26,22.9,23.25,65031,0.21,0.36,0.9,1.55,0.18,1
2023-04-21,23.02,23.12,22.76,22.9,86920,-0.12,0.36,-0.52,1.58,0.18,1
2023-04-20,22.82,23.11,22.66,22.83,51551,0.01,0.45,0.04,1.97,0.22,-1
2023-04-19,22.56,22.9,22.4,22.9,77233,0.34,0.5,1.48,2.18,0.25,1
2023-04-18,22.55,22.74,22.41,22.63,54910,0.08,0.33,0.35,1.45,0.16,1
2023-04-17,22.44,22.64,22.33,22.57,61435,0.13,0.31,0.58,1.37,0.16,1
2023-04-14,22.29,22.45,22.11,22.34,50180,0.05,0.34,0.22,1.52,0.17,-1
2023-04-13,22.03,22.57,22.03,22.4,31711,0.37,0.54,1.65,2.41,0.27,1
2023-04-12,22.49,22.53,22.0,22.05,57000,-0.44,0.53,-2.0,2.4,0.27,-1
2023-04-11,22.24,22.66,22.15,22.29,42824,0.05,0.51,0.22,2.29,0.26,1
2023-04-10,22.6,22.63,21.67,22.19,35578,-0.41,0.96,-1.85,4.32,0.48,-1
2023-04-06,22.66,22.93,22.56,22.79,38700,0.13,0.37,0.57,1.62,0.19,1
2023-04-05,22.98,23.0,22.53,22.56,42825,-0.42,0.47,-1.86,2.08,0.23,-1
2023-04-04,23.26,23.34,23.02,23.13,31478,-0.13,0.32,-0.56,1.41,0.16,-1
2023-04-03,23.46,23.6,23.31,23.32,22905,-0.14,0.29,-0.6,1.24,0.15,-1
2023-03-31,23.54,23.8,23.45,23.54,251695,0.0,0.35,0.0,1.48,0.17,-1
2023-03-30,23.48,23.92,23.43,23.58,31820,0.1,0.49,0.42,2.08,0.25,1
2023-03-29,23.35,23.67,23.35,23.5,61371,0.15,0.32,0.64,1.37,0.16,1
2023-03-28,23.46,23.59,23.31,23.45,53389,-0.01,0.28,-0.04,1.19,0.14,-1
2023-03-27,23.41,23.9,23.32,23.45,96743,0.04,0.58,0.17,2.47,0.29,1
2023-03-24,22.33,22.89,21.89,22.89,57660,0.56,1.0,2.45,4.37,0.5,1
2023-03-23,23.11,23.34,21.65,22.6,51911,-0.51,1.69,-2.26,7.46,0.84,-1
2023-03-22,23.16,23.3,23.07,23.16,51437,0.0,0.23,0.0,0.99,0.12,-1
2023-03-21,23.11,23.33,22.85,23.3,55890,0.19,0.48,0.82,2.06,0.24,-1
2023-03-20,23.04,23.5,22.45,23.35,117604,0.31,1.05,1.33,4.48,0.52,1
2023-03-17,22.65,23.34,22.01,23.06,76003,0.41,1.33,1.78,5.77,0.66,1
2023-03-16,21.78,23.36,21.56,22.79,59964,1.01,1.8,4.43,7.92,0.9,1
2023-03-15,21.92,22.42,21.35,21.93,102090,0.01,1.07,0.05,4.88,0.54,-1
2023-03-14,20.93,22.86,20.93,22.36,135907,1.43,1.93,6.37,8.63,0.96,1
2023-03-13,16.27,20.9,14.17,19.8,355469,3.53,6.73,17.83,33.99,3.36,-1
