Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-28,99.5,100.7,98.74,99.49,90556,-0.01,1.96,-0.01,1.97,0.98,1
2023-07-27,99.72,99.72,98.47,99.09,92033,-0.63,1.25,-0.64,1.26,0.62,1
2023-07-26,97.62,100.0,97.62,98.95,147187,1.33,2.38,1.34,2.41,1.19,1
2023-07-25,97.32,98.0,96.45,96.72,83554,-0.6,1.55,-0.62,1.6,0.77,-1
2023-07-24,94.8,97.31,94.53,97.17,49663,2.37,2.78,2.44,2.86,1.39,1
2023-07-21,97.0,98.99,94.95,95.37,84426,-1.63,4.04,-1.71,4.24,2.02,-1
2023-07-20,96.94,97.0,95.04,96.77,67395,-0.17,1.96,-0.18,2.03,0.98,-1
2023-07-19,95.82,97.0,94.29,96.85,89738,1.03,2.71,1.06,2.8,1.35,1
2023-07-18,93.07,95.32,93.07,95.15,81351,2.08,2.25,2.19,2.36,1.12,1
2023-07-17,92.22,94.27,92.22,93.08,93757,0.86,2.05,0.92,2.2,1.02,1
2023-07-14,92.9,92.9,91.55,92.58,53397,-0.32,1.35,-0.35,1.46,0.68,1
2023-07-13,91.56,92.44,90.9,92.42,57988,0.86,1.54,0.93,1.67,0.77,1
2023-07-12,92.14,92.81,91.32,91.61,60177,-0.53,1.49,-0.58,1.63,0.75,1
2023-07-11,90.07,90.62,89.72,90.55,40226,0.48,0.91,0.53,1.0,0.45,1
2023-07-10,89.8,91.47,88.83,90.18,37823,0.38,2.64,0.42,2.93,1.32,1
2023-07-07,90.08,90.96,89.71,89.93,47646,-0.15,1.25,-0.17,1.39,0.62,-1
2023-07-06,89.53,90.37,88.17,90.33,64483,0.8,2.2,0.89,2.44,1.1,1
2023-07-05,91.29,91.65,89.41,90.0,56203,-1.29,2.24,-1.43,2.49,1.12,-1
2023-07-03,89.62,92.17,89.62,91.88,33051,2.26,2.55,2.46,2.78,1.27,1
2023-06-30,92.74,92.74,89.63,89.99,58931,-2.75,3.11,-3.06,3.46,1.55,-1
2023-06-29,92.59,93.6,92.16,92.31,35800,-0.28,1.44,-0.3,1.56,0.72,1
2023-06-28,91.77,92.69,91.33,92.27,39936,0.5,1.36,0.54,1.47,0.68,-1
2023-06-27,91.09,93.57,90.9,92.41,30040,1.32,2.67,1.43,2.89,1.33,1
2023-06-26,90.45,92.47,90.45,91.18,52570,0.73,2.02,0.8,2.22,1.01,1
2023-06-23,91.06,91.85,89.11,90.28,256626,-0.78,2.74,-0.86,3.04,1.37,-1
2023-06-22,94.04,94.69,91.5,91.98,55315,-2.06,3.19,-2.24,3.47,1.59,-1
2023-06-21,95.79,96.67,94.12,94.34,55773,-1.45,2.55,-1.54,2.7,1.27,-1
2023-06-20,97.81,97.81,95.72,95.96,65125,-1.85,2.09,-1.93,2.17,1.04,-1
2023-06-16,98.5,98.5,96.52,97.92,182744,-0.58,1.97,-0.59,2.02,0.99,1
2023-06-15,96.29,98.2,95.92,97.35,82362,1.06,2.28,1.09,2.35,1.14,1
2023-06-14,97.72,98.31,95.39,96.18,67742,-1.54,2.92,-1.6,3.04,1.46,-1
2023-06-13,95.9,99.21,95.9,97.7,88936,1.8,3.31,1.84,3.38,1.65,1
2023-06-12,96.53,97.68,95.86,96.29,51003,-0.24,1.82,-0.25,1.88,0.91,-1
2023-06-09,96.42,97.31,95.19,96.3,40579,-0.12,2.12,-0.12,2.2,1.06,-1
2023-06-08,97.84,97.84,95.01,96.62,42209,-1.22,2.83,-1.26,2.93,1.41,-1
2023-06-07,95.48,99.0,95.04,97.87,81038,2.39,3.96,2.44,4.05,1.98,1
2023-06-06,90.12,95.45,90.12,94.79,61409,4.67,5.33,4.93,5.62,2.66,1
2023-06-05,92.13,92.6,89.22,90.27,51309,-1.86,3.38,-2.06,3.74,1.69,-1
2023-06-02,88.5,93.58,87.39,93.07,78168,4.57,6.19,4.91,6.65,3.09,1
2023-06-01,86.8,88.85,86.53,87.91,64093,1.11,2.32,1.26,2.64,1.16,1
2023-05-31,89.13,89.13,85.41,86.19,69272,-2.94,3.72,-3.41,4.32,1.86,-1
2023-05-30,89.58,89.85,88.02,89.55,48711,-0.03,1.82,-0.03,2.04,0.91,-1
2023-05-26,88.21,90.15,87.57,89.94,33915,1.73,2.58,1.92,2.87,1.29,1
2023-05-25,88.22,88.56,87.17,88.43,29741,0.21,1.39,0.24,1.57,0.7,-1
2023-05-24,89.71,89.71,87.48,88.6,40088,-1.11,2.23,-1.25,2.52,1.11,-1
2023-05-23,89.64,91.89,89.45,90.05,54297,0.41,2.44,0.46,2.71,1.22,1
2023-05-22,88.99,90.64,87.82,89.94,36937,0.95,2.83,1.06,3.14,1.41,1
