Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-24,17.76,18.06,17.75,17.86,964628,0.1,0.31,0.56,1.74,0.15,1
2023-08-23,17.53,17.82,17.42,17.75,984324,0.22,0.39,1.24,2.23,0.2,1
2023-08-22,17.91,17.92,17.4,17.48,1061135,-0.43,0.52,-2.46,2.95,0.26,-1
2023-08-21,17.98,18.06,17.79,17.85,894451,-0.13,0.27,-0.73,1.51,0.13,-1
2023-08-18,17.6,17.94,17.6,17.92,1223310,0.32,0.34,1.79,1.9,0.17,1
2023-08-17,17.94,18.02,17.58,17.68,1328229,-0.26,0.45,-1.47,2.52,0.22,-1
2023-08-16,17.78,18.03,17.74,17.9,1506201,0.12,0.29,0.67,1.62,0.15,1
2023-08-15,18.37,18.37,17.74,17.83,2199347,-0.54,0.64,-3.03,3.56,0.32,-1
2023-08-14,18.15,18.42,18.04,18.37,946080,0.22,0.38,1.2,2.07,0.19,1
2023-08-11,18.01,18.4,18.01,18.32,901291,0.31,0.38,1.69,2.1,0.19,1
2023-08-10,18.61,18.84,18.05,18.14,1945490,-0.47,0.79,-2.59,4.38,0.4,-1
2023-08-09,19.35,19.35,18.37,18.45,2503921,-0.9,0.98,-4.88,5.31,0.49,-1
2023-08-08,19.1,19.46,19.1,19.39,1235621,0.29,0.36,1.5,1.86,0.18,-1
2023-08-07,19.53,19.7,19.25,19.66,2127468,0.13,0.45,0.66,2.31,0.23,1
2023-08-04,19.58,19.94,19.12,19.49,2727609,-0.09,0.82,-0.46,4.21,0.41,1
2023-08-03,18.96,19.56,18.87,19.48,4198177,0.52,0.68,2.67,3.52,0.34,1
2023-08-02,18.53,18.98,18.43,18.97,1842023,0.44,0.55,2.32,2.9,0.28,1
2023-08-01,18.62,18.77,18.5,18.74,1510097,0.12,0.27,0.64,1.44,0.13,1
2023-07-31,18.93,19.16,18.59,18.71,1802337,-0.22,0.57,-1.18,3.07,0.29,-1
2023-07-28,18.99,19.12,18.74,18.92,1198540,-0.07,0.38,-0.37,2.01,0.19,1
2023-07-27,19.36,19.42,18.78,18.82,894211,-0.54,0.63,-2.87,3.35,0.31,-1
2023-07-26,19.15,19.43,19.15,19.27,759579,0.12,0.28,0.62,1.45,0.14,1
2023-07-25,19.29,19.47,19.15,19.18,1421540,-0.11,0.32,-0.57,1.67,0.16,-1
2023-07-24,19.22,19.52,19.14,19.35,1233921,0.13,0.38,0.67,1.94,0.19,1
2023-07-21,19.38,19.45,19.05,19.22,986836,-0.16,0.4,-0.83,2.08,0.2,-1
2023-07-20,19.37,19.4,19.1,19.3,1632350,-0.07,0.3,-0.36,1.55,0.15,-1
2023-07-19,19.14,19.41,19.0,19.34,1123468,0.2,0.41,1.03,2.09,0.2,1
2023-07-18,18.86,19.29,18.79,19.2,1715721,0.34,0.5,1.77,2.6,0.25,1
2023-07-17,18.65,19.06,18.63,18.78,1576499,0.13,0.43,0.69,2.29,0.21,1
2023-07-14,19.14,19.18,18.59,18.64,1063765,-0.5,0.59,-2.68,3.17,0.29,-1
2023-07-13,18.63,19.0,18.57,18.99,1345256,0.36,0.43,1.9,2.29,0.22,1
2023-07-12,19.05,19.24,18.55,18.57,2234316,-0.48,0.69,-2.58,3.72,0.34,-1
2023-07-11,18.33,18.79,18.18,18.7,2319949,0.37,0.61,1.98,3.24,0.3,1
2023-07-10,18.06,18.3,18.02,18.16,1923026,0.1,0.29,0.55,1.57,0.14,1
2023-07-07,17.77,18.13,17.76,18.02,2633038,0.25,0.37,1.39,2.05,0.18,1
2023-07-06,17.74,17.81,17.42,17.74,1850058,0.0,0.38,0.0,2.17,0.19,-1
2023-07-05,17.62,17.98,17.41,17.98,1849297,0.36,0.57,2.0,3.17,0.29,1
2023-07-03,17.69,17.95,17.69,17.79,582836,0.1,0.26,0.56,1.46,0.13,1
2023-06-30,17.83,17.95,17.59,17.66,1163052,-0.17,0.36,-0.96,2.04,0.18,-1
2023-06-29,17.5,17.72,17.37,17.68,3351243,0.18,0.35,1.02,1.98,0.17,1
2023-06-28,17.15,17.31,16.99,17.25,2170797,0.1,0.32,0.58,1.86,0.16,1
2023-06-27,16.99,17.57,16.8,17.21,5303449,0.22,0.77,1.28,4.47,0.38,1
2023-06-26,16.57,17.01,16.53,16.86,3046095,0.29,0.48,1.72,2.85,0.24,1
2023-06-23,16.36,16.79,16.25,16.76,7232546,0.4,0.54,2.39,3.22,0.27,1
2023-06-22,16.48,16.58,16.32,16.57,2057438,0.09,0.26,0.54,1.57,0.13,1
2023-06-21,16.45,16.59,16.38,16.41,1627300,-0.04,0.21,-0.24,1.28,0.11,-1
2023-06-20,16.39,16.62,16.14,16.53,1709868,0.14,0.47,0.85,2.87,0.24,1
2023-06-16,16.81,16.81,16.43,16.47,2869042,-0.34,0.38,-2.06,2.31,0.19,-1
2023-06-15,16.24,16.8,16.13,16.71,2537396,0.47,0.67,2.81,3.98,0.33,-1
2023-06-14,17.16,17.33,16.87,17.06,3952644,-0.1,0.46,-0.59,2.7,0.23,-1
2023-06-13,16.75,17.24,16.74,17.16,4099425,0.41,0.49,2.39,2.88,0.25,1
2023-06-12,16.78,17.09,16.7,16.72,7352497,-0.06,0.39,-0.36,2.33,0.2,1
2023-06-09,16.93,17.1,16.44,16.66,6424816,-0.27,0.66,-1.62,3.99,0.33,-1
2023-06-08,16.99,17.26,16.89,16.89,24542799,-0.1,0.36,-0.59,2.16,0.18,1
2023-06-07,17.09,17.22,16.48,16.59,4405569,-0.5,0.74,-3.01,4.46,0.37,-1
2023-06-06,16.7,17.45,16.6,17.22,2579708,0.52,0.85,3.02,4.94,0.42,-1
2023-06-05,18.08,18.13,17.66,17.69,1387548,-0.39,0.47,-2.2,2.69,0.24,-1
2023-06-02,17.52,18.16,17.39,18.06,2183605,0.54,0.77,2.99,4.26,0.38,1
2023-06-01,16.96,17.35,16.71,17.09,1880524,0.13,0.64,0.76,3.74,0.32,1
2023-05-31,17.06,17.06,16.55,16.62,1280352,-0.44,0.51,-2.65,3.07,0.25,-1
2023-05-30,17.05,17.24,16.61,17.18,1513351,0.13,0.62,0.76,3.64,0.31,1
2023-05-26,17.26,17.37,16.96,16.99,1838046,-0.27,0.41,-1.59,2.41,0.21,-1
2023-05-25,16.92,17.26,16.68,17.24,2266101,0.32,0.59,1.86,3.39,0.29,1
2023-05-24,17.25,17.43,16.7,16.98,1361334,-0.27,0.73,-1.59,4.3,0.37,-1
2023-05-23,17.4,17.98,17.26,17.47,1954488,0.07,0.72,0.4,4.12,0.36,1
2023-05-22,17.09,17.31,16.99,17.24,1445447,0.15,0.32,0.87,1.86,0.16,1
2023-05-19,17.01,17.14,16.85,16.99,1331799,-0.02,0.29,-0.12,1.71,0.14,1
2023-05-18,17.09,17.13,16.8,16.94,1159370,-0.15,0.32,-0.89,1.92,0.16,-1
2023-05-17,16.77,17.29,16.67,17.24,859683,0.47,0.62,2.73,3.6,0.31,1
2023-05-16,16.63,16.83,16.49,16.55,1102914,-0.08,0.34,-0.48,2.05,0.17,-1
2023-05-15,16.5,16.82,16.29,16.64,1793729,0.14,0.53,0.84,3.16,0.26,1
2023-05-12,16.84,16.84,16.16,16.29,1453717,-0.55,0.68,-3.38,4.17,0.34,-1
2023-05-11,16.39,16.79,16.32,16.74,1000484,0.35,0.47,2.09,2.81,0.23,1
2023-05-10,16.84,16.96,16.27,16.59,1420378,-0.25,0.69,-1.51,4.16,0.34,-1
2023-05-09,16.99,17.16,16.45,16.8,1646545,-0.19,0.71,-1.13,4.23,0.36,1
2023-05-08,16.7,16.94,16.58,16.73,2135938,0.03,0.36,0.18,2.12,0.18,1
2023-05-05,16.0,16.66,15.74,16.64,4589248,0.64,0.92,3.85,5.56,0.46,1
2023-05-04,15.95,15.95,14.91,15.39,3011588,-0.56,1.04,-3.64,6.76,0.52,-1
2023-05-03,16.27,16.65,15.98,16.04,1730600,-0.23,0.67,-1.43,4.16,0.33,-1
2023-05-02,16.74,16.83,15.88,16.11,1980870,-0.63,0.95,-3.91,5.9,0.47,-1
2023-05-01,16.8,16.88,16.6,16.83,1002344,0.03,0.27,0.18,1.63,0.14,-1
2023-04-28,16.27,16.92,16.17,16.86,1058699,0.59,0.75,3.5,4.45,0.38,1
2023-04-27,16.21,16.71,16.2,16.58,1538877,0.37,0.51,2.23,3.08,0.26,1
2023-04-26,16.18,16.4,15.91,16.01,927016,-0.17,0.49,-1.06,3.06,0.24,-1
2023-04-25,16.57,16.64,16.12,16.21,1045386,-0.36,0.52,-2.22,3.24,0.26,-1
2023-04-24,16.53,16.98,16.53,16.82,1903597,0.29,0.45,1.72,2.71,0.23,1
2023-04-21,16.58,16.7,16.2,16.64,1485920,0.06,0.5,0.36,3.0,0.25,1
2023-04-20,16.74,16.82,16.41,16.56,772746,-0.18,0.41,-1.09,2.48,0.21,-1
2023-04-19,16.62,17.2,16.6,17.0,1229229,0.38,0.59,2.24,3.47,0.29,1
2023-04-18,16.66,16.79,16.54,16.67,1178787,0.01,0.25,0.06,1.5,0.12,-1
2023-04-17,16.25,16.74,16.14,16.67,1469123,0.42,0.6,2.52,3.6,0.3,1
2023-04-14,16.34,16.54,16.02,16.16,1598242,-0.18,0.52,-1.11,3.25,0.26,-1
2023-04-13,15.95,16.33,15.93,16.25,709294,0.3,0.4,1.85,2.46,0.2,1
2023-04-12,16.04,16.19,15.82,16.0,1355358,-0.04,0.37,-0.25,2.28,0.18,1
2023-04-11,15.97,16.19,15.61,15.94,1171223,-0.03,0.58,-0.19,3.64,0.29,1
2023-04-10,15.75,15.9,15.58,15.82,3134182,0.07,0.31,0.44,1.99,0.16,-1
2023-04-06,15.66,16.07,15.59,15.94,2109745,0.28,0.48,1.76,3.01,0.24,1
2023-04-05,15.1,15.78,15.1,15.68,2646249,0.58,0.68,3.7,4.34,0.34,1
2023-04-04,16.17,16.35,15.23,15.34,3118698,-0.83,1.12,-5.41,7.3,0.56,-1
2023-04-03,16.06,16.11,15.5,15.56,2063053,-0.5,0.62,-3.21,3.95,0.31,-1
2023-03-31,16.07,16.17,15.5,16.02,3547330,-0.05,0.67,-0.31,4.18,0.34,1
2023-03-30,15.9,16.17,15.75,15.91,1374316,0.01,0.42,0.06,2.64,0.21,1
2023-03-29,15.62,15.76,15.51,15.71,1973940,0.09,0.25,0.57,1.59,0.12,1
2023-03-28,15.15,15.55,15.06,15.29,1840371,0.14,0.49,0.92,3.2,0.25,1
2023-03-27,14.97,15.3,14.75,15.22,2258599,0.25,0.55,1.64,3.61,0.28,1
2023-03-24,14.5,14.67,14.01,14.56,2429300,0.06,0.66,0.41,4.53,0.33,-1
2023-03-23,15.73,15.74,14.46,14.75,2750789,-0.98,1.28,-6.64,8.68,0.64,-1
2023-03-22,16.61,16.66,15.62,15.63,1862321,-0.98,1.04,-6.27,6.69,0.52,-1
2023-03-21,16.27,16.92,15.96,16.68,1943724,0.41,0.96,2.46,5.76,0.48,1
2023-03-20,15.89,16.19,15.78,15.8,1392480,-0.09,0.41,-0.57,2.59,0.21,1
2023-03-17,16.38,16.48,15.62,15.63,2374381,-0.75,0.86,-4.8,5.47,0.43,-1
2023-03-16,16.1,16.71,15.45,16.56,2106044,0.46,1.26,2.78,7.61,0.63,1
2023-03-15,16.7,16.76,15.95,16.39,2436126,-0.31,0.81,-1.89,4.94,0.41,-1
2023-03-14,17.36,17.91,17.17,17.24,2299983,-0.12,0.74,-0.7,4.29,0.37,1
2023-03-13,17.56,17.56,16.71,16.84,2870002,-0.72,0.85,-4.28,5.05,0.42,-1
2023-03-10,18.37,18.58,17.81,17.87,2714582,-0.5,0.77,-2.8,4.28,0.38,-1
2023-03-09,19.56,19.6,18.53,18.6,2226042,-0.96,1.07,-5.16,5.75,0.54,-1
2023-03-08,19.99,20.16,19.5,19.65,1709628,-0.34,0.66,-1.73,3.36,0.33,-1
2023-03-07,20.53,20.63,19.92,20.04,1346998,-0.49,0.7,-2.45,3.52,0.35,-1
2023-03-06,20.66,20.92,20.43,20.58,1500305,-0.08,0.49,-0.39,2.37,0.24,-1
2023-03-03,20.45,20.78,20.4,20.73,1788691,0.28,0.38,1.35,1.81,0.19,1
2023-03-02,20.3,20.57,20.3,20.5,2324071,0.2,0.27,0.98,1.32,0.13,1
2023-03-01,20.49,20.63,20.26,20.47,1847930,-0.02,0.37,-0.1,1.81,0.18,1
2023-02-28,20.18,20.44,20.0,20.22,1498380,0.04,0.45,0.2,2.2,0.22,1
2023-02-27,20.5,20.67,20.07,20.13,1478414,-0.37,0.6,-1.84,2.98,0.3,-1
2023-02-24,20.2,20.4,19.96,20.33,1908974,0.13,0.44,0.64,2.16,0.22,1
2023-02-23,20.39,20.61,20.18,20.32,1528580,-0.07,0.43,-0.34,2.09,0.21,1
2023-02-22,20.23,20.48,20.1,20.24,1805806,0.01,0.38,0.05,1.88,0.19,-1
2023-02-21,20.2,20.58,19.86,20.3,3152869,0.1,0.73,0.49,3.57,0.36,-1
2023-02-17,20.52,21.01,19.89,20.82,2284983,0.3,1.12,1.44,5.38,0.56,1
2023-02-16,21.32,21.72,20.54,20.7,3476193,-0.62,1.18,-3.0,5.7,0.59,-1
2023-02-15,21.37,21.59,21.22,21.56,1040716,0.19,0.37,0.88,1.72,0.19,-1
2023-02-14,21.46,21.88,21.41,21.59,1326606,0.13,0.47,0.6,2.18,0.23,-1
2023-02-13,21.36,21.65,21.18,21.65,1175581,0.29,0.47,1.34,2.17,0.23,1
2023-02-10,21.24,21.5,21.16,21.36,1103243,0.12,0.34,0.56,1.59,0.17,-1
2023-02-09,21.98,22.09,21.24,21.41,1298761,-0.57,0.86,-2.66,3.99,0.43,-1
2023-02-08,21.93,22.12,21.72,21.85,1649986,-0.08,0.4,-0.37,1.83,0.2,-1
2023-02-07,21.64,22.05,21.54,22.0,1694552,0.36,0.51,1.64,2.32,0.26,1
2023-02-06,21.21,21.71,21.1,21.7,1576125,0.49,0.61,2.26,2.79,0.3,1
2023-02-03,21.35,21.68,21.25,21.32,1084629,-0.03,0.43,-0.14,1.99,0.21,-1
2023-02-02,21.62,21.83,21.15,21.49,1821892,-0.13,0.68,-0.6,3.16,0.34,-1
2023-02-01,21.51,22.0,21.22,21.6,1702597,0.09,0.78,0.42,3.61,0.39,-1
2023-01-31,21.32,21.81,21.14,21.76,1318260,0.44,0.67,2.02,3.08,0.33,1
2023-01-30,21.43,21.83,21.39,21.39,730935,-0.04,0.44,-0.19,2.06,0.22,-1
2023-01-27,21.76,21.86,21.52,21.58,756388,-0.18,0.34,-0.83,1.58,0.17,-1
2023-01-26,21.69,21.79,21.48,21.74,921523,0.05,0.31,0.23,1.43,0.15,1
2023-01-25,21.23,21.64,21.18,21.5,938599,0.27,0.46,1.26,2.12,0.23,1
2023-01-24,21.03,21.51,20.92,21.4,1115772,0.37,0.59,1.73,2.76,0.29,1
2023-01-23,20.81,21.23,20.58,21.19,1870536,0.38,0.64,1.79,3.04,0.32,1
2023-01-20,20.24,20.84,20.23,20.74,874154,0.5,0.61,2.41,2.94,0.3,1
2023-01-19,20.12,20.53,19.96,20.22,1196758,0.1,0.57,0.49,2.82,0.29,-1
2023-01-18,21.25,21.29,20.35,20.35,923843,-0.9,0.94,-4.42,4.62,0.47,-1
2023-01-17,20.78,21.33,20.66,21.24,1600190,0.46,0.67,2.17,3.15,0.33,1
2023-01-13,20.61,21.15,20.49,20.89,1359261,0.28,0.66,1.34,3.16,0.33,-1
2023-01-12,20.95,21.25,20.72,21.1,1928442,0.15,0.53,0.71,2.51,0.27,1
2023-01-11,20.32,20.96,20.25,20.89,1164875,0.57,0.71,2.73,3.4,0.36,1
2023-01-10,20.49,20.68,20.28,20.35,1028418,-0.14,0.39,-0.69,1.92,0.2,-1
