Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-04,13.65,13.95,13.5,13.94,8710,0.29,0.45,2.08,3.23,0.22,1
2023-08-03,13.65,13.65,13.65,13.65,280,0.0,0.0,0.0,0.0,0.0,1
2023-08-02,13.59,13.59,13.4,13.57,3631,-0.02,0.19,-0.15,1.4,0.09,-1
2023-08-01,13.5,13.75,13.25,13.75,3119,0.25,0.5,1.82,3.64,0.25,1
2023-07-31,13.67,13.67,13.67,13.67,641,0.0,0.0,0.0,0.0,0.0,1
2023-07-28,13.53,13.53,13.53,13.53,321,0.0,0.0,0.0,0.0,0.0,-1
2023-07-27,13.84,13.84,13.84,13.84,265,0.0,0.0,0.0,0.0,0.0,-1
2023-07-26,13.88,13.88,13.88,13.88,305,0.0,0.0,0.0,0.0,0.0,-1
2023-07-25,13.94,13.94,13.91,13.91,569,-0.03,0.03,-0.22,0.22,0.01,-1
2023-07-24,13.94,13.94,13.94,13.94,177,0.0,0.0,0.0,0.0,0.0,1
2023-07-21,12.74,13.35,12.74,13.35,6265,0.61,0.61,4.57,4.57,0.3,1
2023-07-20,13.96,13.96,13.02,13.04,11344,-0.92,0.94,-7.06,7.21,0.47,-1
2023-07-19,13.3,14.18,13.2,14.18,1364,0.88,0.98,6.21,6.91,0.49,1
2023-07-18,12.41,12.85,12.41,12.85,10899,0.44,0.44,3.42,3.42,0.22,1
2023-07-17,12.45,12.45,12.45,12.45,262,0.0,0.0,0.0,0.0,0.0,1
2023-07-14,12.5,12.81,12.4,12.41,5877,-0.09,0.41,-0.73,3.3,0.21,1
2023-07-13,12.36,12.36,12.36,12.36,69,0.0,0.0,0.0,0.0,0.0,-1
2023-07-12,12.47,12.49,12.36,12.36,1157,-0.11,0.13,-0.89,1.05,0.07,1
2023-07-11,12.35,12.35,12.25,12.25,846,-0.1,0.1,-0.82,0.82,0.05,1
2023-07-10,12.28,12.35,12.22,12.22,4982,-0.05,0.13,-0.45,1.06,0.06,1
2023-07-07,12.32,12.32,12.21,12.21,3343,-0.11,0.11,-0.9,0.9,0.05,-1
2023-07-06,12.33,12.33,12.33,12.33,205,0.0,0.0,0.0,0.0,0.0,-1
2023-07-05,12.33,12.33,12.33,12.33,467,0.0,0.0,0.0,0.0,0.0,1
2023-07-03,12.29,12.29,12.29,12.29,470,0.0,0.0,0.0,0.0,0.0,1
2023-06-30,12.1,12.15,12.1,12.15,622,0.05,0.05,0.41,0.41,0.03,1
2023-06-29,12.11,12.11,12.11,12.11,47,0.0,0.0,0.0,0.0,0.0,-1
2023-06-28,12.11,12.11,12.11,12.11,454,0.0,0.0,0.0,0.0,0.0,-1
2023-06-27,12.24,12.24,12.24,12.24,173,0.0,0.0,0.0,0.0,0.0,-1
2023-06-26,12.35,12.35,12.35,12.35,28,0.0,0.0,0.0,0.0,0.0,-1
2023-06-23,12.06,12.35,12.02,12.35,3050,0.29,0.33,2.35,2.67,0.17,1
