Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-08-18,171.32,175.54,171.32,172.56,20296,1.24,4.22,0.72,2.45,2.11,174.06,173.96,-1.51,-0.59,-0.92,3174962,4.57,70.0,3.33,1.0,66.67,Weak Buy Signal,187.5,174.06,160.62,0.15,50.19,Target Volume,Expected Range,10.04,Absent or Weak Trend
2023-08-17,172.0,173.98,171.5,172.64,16914,0.64,2.48,0.37,1.44,1.24,173.89,174.01,-1.48,-0.36,-1.12,3195258,3.12,71.67,5.0,1.0,66.67,Weak Buy Signal,187.66,173.89,160.11,0.16,50.23,Target Volume,Expected Range,10.13,Absent or Weak Trend
2023-08-16,171.55,175.6,171.55,172.3,23485,0.75,4.05,0.44,2.35,2.02,173.67,174.05,-1.44,-0.08,-1.35,3178344,3.17,73.33,6.67,1.0,66.67,Weak Buy Signal,187.93,173.67,159.41,0.16,50.07,Target Volume,Expected Range,10.25,Absent or Weak Trend
2023-08-15,168.39,171.92,165.69,171.02,34443,2.63,6.23,1.54,3.64,3.11,173.43,174.11,-1.32,0.25,-1.58,3154859,0.31,75.0,8.33,1.0,66.67,Weak Buy Signal,188.23,173.43,158.63,0.17,49.49,Target Volume,Expected Range,10.37,Absent or Weak Trend
2023-08-14,168.12,170.28,168.12,170.28,11154,2.16,2.16,1.27,1.27,1.08,173.24,174.22,-1.03,0.65,-1.68,3120416,2.07,76.67,0.0,1.0,76.67,Strong Buy Signal,188.46,173.24,158.01,0.18,49.15,Target Volume,Expected Range,10.54,Absent or Weak Trend
2023-08-11,172.42,172.55,171.43,172.32,8781,-0.1,1.12,-0.06,0.65,0.56,173.05,174.35,-0.56,1.07,-1.63,3131570,5.45,78.33,0.0,1.0,78.33,Strong Buy Signal,188.67,173.05,157.44,0.18,50.06,Target Volume,Expected Range,10.68,Absent or Weak Trend
2023-08-10,174.69,175.0,171.01,171.4,17013,-3.29,3.99,-1.92,2.33,2.0,172.76,174.42,-0.17,1.48,-1.64,3122789,5.45,80.0,1.67,1.0,78.33,Strong Buy Signal,189.06,172.76,156.47,0.19,49.65,Target Volume,Expected Range,10.77,Absent or Weak Trend
2023-08-09,173.38,175.75,171.99,173.3,13858,-0.08,3.76,-0.05,2.17,1.88,172.54,174.52,0.43,1.89,-1.45,3139802,6.46,81.67,3.33,1.0,78.33,Strong Buy Signal,189.28,172.54,155.79,0.19,50.49,Target Volume,Expected Range,10.86,Absent or Weak Trend
2023-08-08,176.86,176.86,174.45,176.0,7145,-0.86,2.41,-0.49,1.37,1.21,172.25,174.56,1.0,2.25,-1.25,3153660,9.03,83.33,5.0,1.0,78.33,Strong Buy Signal,189.5,172.25,155.01,0.2,51.72,Target Volume,Expected Range,10.93,Absent or Weak Trend
2023-08-07,178.07,180.0,176.5,178.26,16905,0.19,3.5,0.11,1.96,1.75,171.93,174.51,1.44,2.56,-1.12,3160805,11.23,85.0,6.67,1.0,78.33,Strong Buy Signal,189.6,171.93,154.27,0.21,52.78,Target Volume,Expected Range,10.97,Absent or Weak Trend
2023-08-04,176.99,179.0,175.28,176.01,4618,-0.98,3.72,-0.56,2.11,1.86,171.62,174.39,1.74,2.84,-1.1,3143900,10.37,86.67,0.0,1.0,86.67,Strong Buy Signal,189.49,171.62,153.74,0.21,51.82,Target Volume,Expected Range,10.96,Absent or Weak Trend
2023-08-03,178.99,180.08,178.45,179.58,13941,0.59,1.63,0.33,0.91,0.82,171.3,174.33,2.33,3.12,-0.78,3148518,13.84,88.33,1.67,1.0,86.67,Strong Buy Signal,189.52,171.3,153.08,0.21,53.53,Target Volume,Expected Range,10.97,Absent or Weak Trend
2023-08-02,180.35,180.35,178.58,180.0,5755,-0.35,1.77,-0.19,0.98,0.88,170.95,174.15,2.69,3.31,-0.62,3162459,13.98,90.0,3.33,1.0,86.67,Strong Buy Signal,189.34,170.95,152.55,0.22,53.73,Target Volume,Expected Range,10.92,Absent or Weak Trend
2023-08-01,181.5,181.5,180.05,180.89,6106,-0.61,1.45,-0.34,0.8,0.72,170.62,173.96,3.07,3.47,-0.4,3168214,15.62,91.67,5.0,1.0,86.67,Strong Buy Signal,189.05,170.62,152.19,0.22,54.16,Target Volume,Expected Range,10.87,Absent or Weak Trend
2023-07-31,181.5,182.66,180.25,181.51,13469,0.01,2.41,0.01,1.33,1.2,170.21,173.72,3.41,3.57,-0.15,3174320,15.84,93.33,6.67,1.0,86.67,Strong Buy Signal,188.81,170.21,151.61,0.22,54.46,Target Volume,Expected Range,10.79,Absent or Weak Trend
2023-07-28,182.77,184.47,181.61,181.61,3441,-1.16,2.86,-0.64,1.57,1.43,169.81,173.46,3.74,3.6,0.13,3187789,17.35,95.0,8.33,1.0,86.67,Strong Buy Signal,188.45,169.81,151.17,0.22,54.51,Target Volume,Expected Range,10.71,Absent or Weak Trend
2023-07-27,186.07,187.95,183.1,183.1,14227,-2.97,4.85,-1.62,2.65,2.42,169.41,173.18,4.09,3.57,0.52,3191230,19.02,96.67,10.0,1.0,86.67,Strong Buy Signal,188.05,169.41,150.76,0.22,55.22,Target Volume,Expected Range,10.59,Absent or Weak Trend
2023-07-26,187.51,187.53,185.8,187.0,12798,-0.51,1.73,-0.27,0.93,0.86,169.02,172.84,4.33,3.44,0.89,3205457,22.11,98.33,11.67,1.0,86.67,Strong Buy Signal,187.47,169.02,150.57,0.22,57.14,Target Volume,Expected Range,10.45,Absent or Weak Trend
2023-07-25,184.96,188.28,184.82,187.24,22367,2.28,3.46,1.22,1.85,1.73,168.58,172.36,4.17,3.22,0.95,3218255,22.11,100.0,13.33,1.0,86.67,Strong Buy Signal,186.55,168.58,150.61,0.21,57.26,Target Volume,Expected Range,10.25,Absent or Weak Trend
