Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-06,12.0,12.0,11.75,11.96,547505,-0.04,0.25,-0.33,2.09,0.12,-1
2023-07-05,12.27,12.32,12.06,12.13,469043,-0.14,0.26,-1.15,2.14,0.13,-1
2023-07-03,12.27,12.54,12.27,12.38,342578,0.11,0.27,0.89,2.14,0.13,1
2023-06-30,12.46,12.46,12.25,12.27,687296,-0.19,0.21,-1.55,1.71,0.11,-1
2023-06-29,12.22,12.41,12.22,12.31,638925,0.09,0.19,0.73,1.54,0.09,1
2023-06-28,12.0,12.14,11.82,12.08,621763,0.08,0.32,0.66,2.69,0.16,1
2023-06-27,11.72,12.07,11.63,12.02,692170,0.3,0.44,2.5,3.66,0.22,1
2023-06-26,11.64,12.03,11.64,11.72,562921,0.08,0.39,0.68,3.33,0.19,1
2023-06-23,11.87,12.0,11.39,11.58,1974634,-0.29,0.61,-2.5,5.27,0.3,-1
2023-06-22,12.2,12.2,11.69,12.01,693985,-0.19,0.51,-1.58,4.25,0.25,-1
2023-06-21,12.6,12.69,12.3,12.31,767617,-0.29,0.39,-2.36,3.17,0.19,-1
2023-06-20,12.79,12.84,12.57,12.68,625012,-0.11,0.27,-0.87,2.13,0.13,-1
2023-06-16,13.13,13.18,12.65,12.84,1377675,-0.29,0.53,-2.26,4.13,0.26,-1
2023-06-15,12.76,13.13,12.72,13.05,609951,0.29,0.41,2.22,3.14,0.21,1
2023-06-14,13.1,13.26,12.71,12.83,726177,-0.27,0.55,-2.1,4.29,0.27,-1
2023-06-13,12.78,13.21,12.62,13.12,731834,0.34,0.59,2.59,4.49,0.29,1
2023-06-12,12.88,13.16,12.53,12.7,656128,-0.18,0.62,-1.42,4.92,0.31,-1
2023-06-09,13.19,13.19,12.76,12.79,599953,-0.4,0.43,-3.13,3.4,0.22,-1
2023-06-08,12.86,13.36,12.62,13.24,795362,0.38,0.74,2.87,5.59,0.37,1
2023-06-07,12.59,13.03,12.56,12.97,910619,0.38,0.47,2.93,3.62,0.23,1
2023-06-06,11.72,12.78,11.66,12.42,1277893,0.7,1.12,5.64,9.02,0.56,1
2023-06-05,12.12,12.12,11.68,11.72,597094,-0.4,0.45,-3.41,3.8,0.22,-1
2023-06-02,11.53,12.17,11.4,12.14,847018,0.61,0.77,5.02,6.34,0.38,1
2023-06-01,10.84,11.45,10.66,11.28,1033552,0.44,0.79,3.9,6.96,0.39,1
2023-05-31,11.12,11.12,10.69,10.85,1366799,-0.27,0.43,-2.49,3.99,0.22,-1
2023-05-30,11.34,11.4,10.84,11.15,649955,-0.19,0.56,-1.7,5.02,0.28,-1
2023-05-26,11.32,11.37,11.07,11.31,750833,-0.01,0.3,-0.09,2.65,0.15,-1
2023-05-25,11.35,11.42,10.9,11.32,719490,-0.03,0.52,-0.27,4.59,0.26,-1
2023-05-24,11.72,11.72,11.36,11.4,645788,-0.32,0.37,-2.81,3.2,0.18,-1
2023-05-23,11.76,12.2,11.66,11.83,816074,0.07,0.54,0.59,4.52,0.27,1
2023-05-22,11.73,11.97,11.54,11.76,812847,0.03,0.44,0.26,3.7,0.22,1
2023-05-19,12.15,12.16,11.53,11.65,642134,-0.5,0.62,-4.29,5.36,0.31,-1
2023-05-18,12.13,12.15,11.9,12.08,635318,-0.05,0.25,-0.41,2.07,0.12,-1
2023-05-17,11.48,12.21,11.36,12.18,993546,0.7,0.85,5.75,6.98,0.43,1
