Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-16,16.43,16.44,16.08,16.22,20481,-0.21,0.36,-1.29,2.24,0.18,-1
2023-08-15,16.55,16.55,16.27,16.27,19855,-0.28,0.28,-1.72,1.72,0.14,-1
2023-08-14,16.54,16.54,16.44,16.54,27494,0.0,0.1,0.0,0.6,0.05,1
2023-08-11,16.52,16.53,16.32,16.52,6345,0.0,0.21,0.0,1.27,0.11,-1
2023-08-10,16.79,16.82,16.3,16.56,28740,-0.23,0.52,-1.39,3.11,0.26,-1
2023-08-09,16.68,16.73,16.48,16.65,21994,-0.03,0.25,-0.18,1.5,0.12,1
2023-08-08,16.69,16.71,16.55,16.6,41016,-0.09,0.16,-0.54,0.96,0.08,-1
2023-08-07,16.66,16.72,16.6,16.61,14571,-0.05,0.12,-0.3,0.72,0.06,1
2023-08-04,16.62,16.65,16.37,16.53,66498,-0.09,0.28,-0.54,1.69,0.14,1
2023-08-03,16.3,16.35,16.05,16.35,13238,0.05,0.3,0.31,1.83,0.15,-1
2023-08-02,16.42,16.45,16.06,16.45,16022,0.03,0.39,0.18,2.37,0.2,-1
2023-08-01,16.49,16.68,16.27,16.58,9975,0.09,0.4,0.54,2.44,0.2,1
2023-07-31,16.51,16.76,16.43,16.54,70885,0.03,0.33,0.18,1.99,0.16,1
2023-07-28,16.64,16.86,16.39,16.5,20921,-0.14,0.47,-0.85,2.85,0.23,-1
2023-07-27,16.81,16.84,16.43,16.61,36157,-0.2,0.41,-1.2,2.49,0.21,-1
2023-07-26,16.84,16.96,16.67,16.75,85672,-0.09,0.29,-0.54,1.73,0.14,1
2023-07-25,16.75,16.78,16.56,16.73,13701,-0.02,0.22,-0.12,1.32,0.11,-1
2023-07-24,16.7,16.85,16.62,16.74,15053,0.04,0.23,0.24,1.36,0.11,1
2023-07-21,16.68,16.97,16.68,16.7,56296,0.02,0.29,0.12,1.74,0.14,1
2023-07-20,16.73,16.73,16.5,16.58,23311,-0.15,0.23,-0.9,1.39,0.12,-1
2023-07-19,16.75,16.88,16.69,16.77,117271,0.02,0.19,0.12,1.13,0.09,-1
2023-07-18,16.49,16.78,16.49,16.78,20795,0.29,0.29,1.73,1.73,0.15,1
2023-07-17,16.47,16.69,16.3,16.49,13537,0.02,0.39,0.12,2.37,0.2,-1
2023-07-14,16.83,17.08,16.4,16.71,37882,-0.12,0.68,-0.72,4.07,0.34,-1
2023-07-13,16.87,17.02,16.79,16.85,39400,-0.02,0.23,-0.12,1.36,0.12,-1
2023-07-12,16.75,16.95,16.7,16.86,56877,0.11,0.25,0.65,1.48,0.12,1
2023-07-11,16.48,16.55,16.13,16.55,18655,0.07,0.42,0.42,2.54,0.21,1
2023-07-10,16.36,16.42,16.12,16.36,9357,0.0,0.3,0.0,1.81,0.15,1
2023-07-07,16.03,16.36,16.03,16.3,17069,0.27,0.33,1.66,2.02,0.16,1
2023-07-06,16.39,16.39,15.72,16.12,32206,-0.27,0.67,-1.67,4.13,0.33,-1
2023-07-05,16.45,16.54,16.27,16.39,24140,-0.06,0.27,-0.37,1.65,0.13,-1
2023-07-03,16.27,16.45,16.19,16.45,10415,0.18,0.26,1.09,1.58,0.13,1
2023-06-30,16.2,16.31,16.03,16.12,51051,-0.08,0.28,-0.5,1.74,0.14,1
2023-06-29,16.38,16.38,15.75,15.81,17771,-0.57,0.63,-3.61,3.98,0.31,-1
2023-06-28,16.44,16.48,16.26,16.26,18533,-0.18,0.22,-1.11,1.35,0.11,-1
2023-06-27,16.52,16.52,16.24,16.38,16108,-0.14,0.28,-0.85,1.71,0.14,1
2023-06-26,16.48,16.48,16.36,16.37,6570,-0.11,0.12,-0.67,0.76,0.06,1
2023-06-23,16.45,16.45,16.04,16.26,6526,-0.19,0.41,-1.17,2.52,0.21,-1
2023-06-22,16.56,16.56,16.28,16.34,13601,-0.22,0.28,-1.35,1.74,0.14,-1
2023-06-21,16.57,16.57,16.45,16.54,8637,-0.03,0.12,-0.18,0.73,0.06,1
2023-06-20,16.68,16.68,16.48,16.48,7964,-0.2,0.2,-1.21,1.21,0.1,-1
2023-06-16,16.69,16.89,16.55,16.61,13971,-0.08,0.34,-0.48,2.04,0.17,1
2023-06-15,16.6,16.73,16.4,16.57,12302,-0.03,0.33,-0.18,1.99,0.17,1
2023-06-14,16.64,16.64,16.36,16.43,12215,-0.21,0.29,-1.28,1.73,0.14,-1
2023-06-13,16.52,16.56,16.28,16.56,24049,0.04,0.28,0.24,1.69,0.14,1
2023-06-12,16.68,16.68,16.24,16.38,12051,-0.3,0.44,-1.83,2.69,0.22,-1
2023-06-09,16.56,16.62,16.47,16.61,16663,0.05,0.16,0.3,0.93,0.08,1
2023-06-08,16.54,16.6,16.37,16.52,12336,-0.02,0.23,-0.1,1.39,0.11,1
2023-06-07,16.76,16.83,16.47,16.47,55067,-0.29,0.36,-1.76,2.19,0.18,-1
2023-06-06,16.7,16.7,16.46,16.66,65165,-0.04,0.24,-0.24,1.44,0.12,1
2023-06-05,16.72,17.12,16.56,16.6,61363,-0.12,0.56,-0.72,3.37,0.28,-1
2023-06-02,16.69,16.81,16.65,16.75,37941,0.06,0.16,0.36,0.96,0.08,1
2023-06-01,16.38,16.62,15.4,16.59,15389,0.21,1.22,1.27,7.35,0.61,-1
2023-05-31,16.76,16.76,16.56,16.6,80722,-0.16,0.2,-0.96,1.2,0.1,1
2023-05-30,16.82,16.82,16.49,16.49,21219,-0.33,0.33,-2.0,2.0,0.17,-1
2023-05-26,16.71,16.71,16.56,16.67,15235,-0.04,0.15,-0.24,0.9,0.08,1
2023-05-25,16.77,16.77,16.54,16.66,27057,-0.11,0.23,-0.66,1.38,0.12,1
2023-05-24,16.66,16.69,16.31,16.63,16848,-0.03,0.38,-0.18,2.26,0.19,-1
2023-05-23,16.76,16.76,16.55,16.66,12555,-0.1,0.21,-0.6,1.26,0.11,-1
2023-05-22,16.75,16.75,16.48,16.7,26164,-0.05,0.27,-0.3,1.65,0.14,1
2023-05-19,16.83,16.83,16.34,16.67,11551,-0.16,0.49,-0.96,2.94,0.24,-1
2023-05-18,16.7,16.9,16.5,16.69,30639,-0.01,0.4,-0.06,2.38,0.2,-1
2023-05-17,16.65,16.85,16.47,16.79,216697,0.14,0.38,0.83,2.26,0.19,1
2023-05-16,16.66,16.73,16.39,16.57,102107,-0.09,0.34,-0.54,2.05,0.17,-1
2023-05-15,16.5,16.73,16.32,16.63,29377,0.13,0.41,0.78,2.46,0.2,1
2023-05-12,16.5,16.5,16.22,16.5,8960,0.0,0.28,0.0,1.7,0.14,1
2023-05-11,16.4,16.5,16.03,16.44,10670,0.04,0.47,0.24,2.86,0.23,-1
2023-05-10,16.58,16.58,16.07,16.48,18780,-0.1,0.51,-0.61,3.09,0.25,1
2023-05-09,15.76,16.07,15.4,16.04,19594,0.28,0.67,1.75,4.18,0.34,1
2023-05-08,15.54,15.8,15.35,15.71,27255,0.17,0.45,1.08,2.86,0.23,1
2023-05-05,16.17,16.17,15.17,15.35,37224,-0.82,1.0,-5.34,6.51,0.5,1
2023-05-04,15.69,15.69,14.97,15.09,39971,-0.6,0.72,-3.98,4.77,0.36,-1
2023-05-03,16.36,16.69,15.87,15.87,46148,-0.49,0.82,-3.09,5.17,0.41,-1
2023-05-02,17.34,17.34,16.53,16.53,15747,-0.81,0.81,-4.9,4.9,0.4,-1
2023-05-01,17.64,17.78,17.21,17.21,22052,-0.43,0.57,-2.5,3.31,0.29,-1
2023-04-28,17.75,17.81,17.51,17.64,64018,-0.11,0.3,-0.62,1.7,0.15,1
2023-04-27,17.73,17.89,17.52,17.62,76994,-0.11,0.37,-0.62,2.1,0.19,-1
2023-04-26,18.07,18.13,17.61,17.85,22812,-0.22,0.52,-1.23,2.91,0.26,-1
2023-04-25,18.27,18.27,17.73,18.05,22258,-0.22,0.54,-1.22,2.99,0.27,-1
2023-04-24,18.28,18.31,18.11,18.23,9880,-0.05,0.2,-0.27,1.1,0.1,-1
2023-04-21,18.15,18.25,17.91,18.25,13623,0.1,0.34,0.55,1.86,0.17,1
2023-04-20,18.12,18.12,17.92,18.1,93334,-0.02,0.2,-0.11,1.1,0.1,1
2023-04-19,18.14,18.14,17.92,18.09,13857,-0.05,0.22,-0.3,1.22,0.11,-1
2023-04-18,18.06,18.18,17.97,18.15,60158,0.09,0.21,0.5,1.16,0.11,1
2023-04-17,18.15,18.33,17.98,18.06,89578,-0.09,0.35,-0.5,1.97,0.18,-1
2023-04-14,18.02,18.36,18.0,18.07,59810,0.05,0.36,0.25,1.99,0.18,1
2023-04-13,18.06,18.19,17.86,18.0,1018124,-0.06,0.33,-0.33,1.84,0.17,1
2023-04-12,17.89,18.0,17.64,17.89,10162,0.0,0.36,0.0,2.01,0.18,1
2023-04-11,17.61,17.94,17.61,17.72,12846,0.11,0.33,0.62,1.86,0.17,1
2023-04-10,17.73,17.95,17.61,17.7,16981,-0.03,0.34,-0.17,1.92,0.17,-1
2023-04-06,18.04,18.09,17.75,17.86,67139,-0.18,0.34,-1.01,1.9,0.17,-1
2023-04-05,18.29,18.34,17.92,17.92,27206,-0.37,0.42,-2.06,2.34,0.21,-1
2023-04-04,18.3,18.3,17.91,18.3,8492,0.0,0.39,0.0,2.13,0.2,-1
2023-04-03,18.58,18.58,18.2,18.32,37725,-0.26,0.38,-1.44,2.07,0.19,-1
2023-03-31,18.55,18.69,18.32,18.6,25163,0.05,0.37,0.27,1.99,0.19,1
2023-03-30,18.54,18.66,18.26,18.41,20697,-0.13,0.4,-0.71,2.17,0.2,1
2023-03-29,17.62,18.4,17.62,18.33,30215,0.71,0.78,3.9,4.25,0.39,1
2023-03-28,17.54,17.72,17.54,17.62,3150,0.08,0.18,0.45,1.02,0.09,1
2023-03-27,17.31,17.73,17.31,17.42,22816,0.11,0.42,0.63,2.41,0.21,1
2023-03-24,16.81,17.45,16.39,17.17,16779,0.36,1.06,2.1,6.17,0.53,1
2023-03-23,17.22,17.43,16.68,16.68,10847,-0.54,0.75,-3.24,4.52,0.38,-1
