Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-17,113.87,113.99,111.91,111.95,319356,-1.92,2.08,-1.72,1.86,1.04,-1
2023-08-16,113.07,114.4,113.07,113.49,314097,0.42,1.33,0.37,1.17,0.67,1
2023-08-15,113.69,113.92,112.71,113.02,371295,-0.67,1.21,-0.59,1.07,0.61,-1
2023-08-14,114.5,114.93,114.08,114.77,325892,0.27,0.85,0.24,0.74,0.43,1
2023-08-11,113.6,114.49,113.6,114.47,342424,0.87,0.89,0.76,0.78,0.45,1
2023-08-10,113.59,114.5,113.29,113.53,420505,-0.06,1.21,-0.05,1.06,0.6,1
2023-08-09,114.2,114.46,113.14,113.3,273285,-0.9,1.32,-0.79,1.17,0.66,-1
2023-08-08,114.59,114.67,113.24,114.12,575616,-0.47,1.43,-0.41,1.25,0.72,-1
2023-08-07,114.27,115.86,114.05,115.36,367399,1.09,1.81,0.94,1.57,0.91,1
2023-08-04,114.49,115.49,113.25,113.58,448856,-0.91,2.24,-0.8,1.97,1.12,-1
2023-08-03,113.4,114.75,112.6,114.0,455322,0.6,2.15,0.53,1.89,1.08,1
2023-08-02,112.48,114.0,112.2,113.43,350463,0.95,1.81,0.84,1.6,0.91,1
2023-08-01,112.17,112.67,111.33,112.57,403251,0.4,1.34,0.36,1.19,0.67,1
2023-07-31,112.21,113.02,111.65,112.17,419980,-0.04,1.37,-0.04,1.22,0.68,-1
2023-07-28,112.77,112.94,110.94,112.19,494252,-0.58,2.0,-0.52,1.79,1.0,1
2023-07-27,114.0,114.58,110.7,111.13,797032,-2.87,3.89,-2.58,3.5,1.94,-1
2023-07-26,114.0,115.3,113.83,114.0,407211,0.0,1.47,0.0,1.29,0.73,-1
2023-07-25,114.47,114.56,113.91,114.08,387126,-0.39,0.65,-0.34,0.57,0.32,-1
2023-07-24,114.7,115.49,114.44,114.51,362661,-0.19,1.05,-0.17,0.91,0.52,-1
2023-07-21,114.84,114.98,113.9,114.69,375805,-0.15,1.08,-0.13,0.94,0.54,1
2023-07-20,113.27,114.73,112.95,114.67,480586,1.4,1.78,1.22,1.55,0.89,1
2023-07-19,111.62,112.74,111.62,112.44,397290,0.82,1.12,0.73,1.0,0.56,1
2023-07-18,111.06,112.87,111.06,112.31,541666,1.25,1.81,1.11,1.62,0.91,1
2023-07-17,109.84,111.58,109.84,110.92,343727,1.08,1.74,0.97,1.57,0.87,1
2023-07-14,110.62,110.62,109.26,109.86,385326,-0.76,1.36,-0.69,1.24,0.68,-1
2023-07-13,110.69,111.46,110.27,110.27,575884,-0.42,1.19,-0.38,1.08,0.59,-1
2023-07-12,112.8,113.29,111.29,111.51,336415,-1.29,2.0,-1.16,1.79,1.0,-1
2023-07-11,112.02,112.73,112.02,112.31,351215,0.29,0.71,0.26,0.63,0.36,1
2023-07-10,111.52,112.37,110.93,111.76,424147,0.24,1.44,0.21,1.29,0.72,1
