Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-08-14,1.51,1.51,1.41,1.42,13027487,-0.09,0.1,-6.34,7.04,0.05,1.54,1.62,-0.01,0.02,-0.03,-311661195,5.57,81.67,15.0,1.0,66.67,Weak Buy Signal,1.8,1.54,1.29,0.33,45.67,Target Volume,Expected Range,7.44,Absent or Weak Trend
2023-08-11,1.56,1.57,1.46,1.52,13099244,-0.04,0.1,-2.63,6.91,0.05,1.55,1.63,0.01,0.03,-0.02,-298633708,4.19,83.33,16.67,1.0,66.67,Weak Buy Signal,1.81,1.55,1.29,0.34,46.79,Target Volume,Expected Range,7.47,Absent or Weak Trend
2023-08-10,1.64,1.73,1.6,1.61,5284974,-0.03,0.13,-1.86,8.07,0.06,1.56,1.63,0.02,0.04,-0.02,-285534464,0.69,85.0,18.33,1.0,66.67,Weak Buy Signal,1.82,1.56,1.29,0.34,47.83,Target Volume,Expected Range,7.53,Absent or Weak Trend
2023-08-09,1.59,1.6,1.55,1.6,5331948,0.01,0.05,0.63,3.44,0.03,1.56,1.63,0.02,0.04,-0.02,-290819438,4.16,86.67,20.0,1.0,66.67,Weak Buy Signal,1.82,1.56,1.29,0.34,47.71,Target Volume,Expected Range,7.64,Absent or Weak Trend
2023-08-08,1.59,1.6,1.54,1.57,6777542,-0.02,0.06,-1.27,3.89,0.03,1.55,1.63,0.03,0.04,-0.01,-296151386,4.27,88.33,21.67,1.0,66.67,Weak Buy Signal,1.82,1.55,1.29,0.34,47.33,Target Volume,Expected Range,7.7,Absent or Weak Trend
2023-08-07,1.72,1.72,1.6,1.61,6808492,-0.11,0.12,-6.83,7.45,0.06,1.56,1.64,0.04,0.05,-0.01,-289373844,2.72,90.0,23.33,1.0,66.67,Weak Buy Signal,1.82,1.56,1.29,0.34,47.78,Target Volume,Expected Range,7.76,Absent or Weak Trend
2023-08-04,1.73,1.82,1.71,1.71,8531897,-0.02,0.11,-1.17,6.43,0.06,1.55,1.64,0.05,0.05,0.0,-282565352,0.22,91.67,25.0,1.0,66.67,Weak Buy Signal,1.82,1.55,1.29,0.34,48.93,Target Volume,Expected Range,7.84,Absent or Weak Trend
2023-08-03,1.63,1.76,1.63,1.73,7694352,0.1,0.13,5.78,7.51,0.07,1.55,1.64,0.05,0.05,0.01,-274033455,1.42,93.33,26.67,1.0,66.67,Weak Buy Signal,1.82,1.55,1.29,0.34,49.17,Target Volume,Expected Range,7.97,Absent or Weak Trend
2023-08-02,1.63,1.66,1.59,1.63,13548197,0.0,0.07,0.0,4.29,0.03,1.55,1.63,0.05,0.05,0.01,-281727807,4.23,95.0,28.33,1.0,66.67,Weak Buy Signal,1.82,1.55,1.29,0.34,47.95,Target Volume,Expected Range,8.08,Absent or Weak Trend
2023-08-01,1.73,1.75,1.66,1.69,11226314,-0.04,0.09,-2.37,5.62,0.05,1.55,1.63,0.06,0.04,0.02,-268179610,2.51,96.67,30.0,1.0,66.67,Weak Buy Signal,1.82,1.55,1.29,0.34,48.64,Target Volume,Expected Range,8.15,Absent or Weak Trend
2023-07-31,1.84,1.84,1.78,1.78,13628499,-0.06,0.06,-3.37,3.37,0.03,1.55,1.63,0.07,0.04,0.03,-256953296,0.93,98.33,31.67,1.0,66.67,Weak Buy Signal,1.82,1.55,1.29,0.34,49.69,Target Volume,Expected Range,8.24,Absent or Weak Trend
2023-07-28,1.84,1.91,1.8,1.82,19848596,-0.02,0.1,-1.1,5.77,0.05,1.55,1.63,0.06,0.03,0.03,-243324797,1.64,100.0,33.33,1.0,66.67,Weak Buy Signal,1.81,1.55,1.29,0.33,50.16,Target Volume,Expected Range,8.37,Absent or Weak Trend
2023-07-27,1.81,1.82,1.72,1.76,13937825,-0.05,0.1,-2.84,5.68,0.05,1.55,1.62,0.05,0.02,0.03,-263173393,0.86,96.67,35.0,1.0,61.67,Weak Buy Signal,1.8,1.55,1.3,0.32,49.45,Target Volume,Expected Range,8.48,Absent or Weak Trend
2023-07-26,1.66,1.82,1.66,1.8,14414910,0.14,0.16,7.78,8.89,0.08,1.54,1.61,0.04,0.02,0.03,-249235568,0.86,98.33,36.67,1.0,61.67,Weak Buy Signal,1.79,1.54,1.3,0.32,49.92,Target Volume,Expected Range,8.61,Absent or Weak Trend
