Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-13,22.78,23.27,22.5,22.74,69167,-0.04,0.77,-0.18,3.39,0.38,1
2023-07-12,22.9,23.09,22.5,22.6,69561,-0.3,0.59,-1.33,2.61,0.29,1
2023-07-11,22.8,22.8,22.1,22.47,21275,-0.33,0.71,-1.47,3.14,0.35,-1
2023-07-10,22.48,22.8,22.45,22.59,16434,0.11,0.35,0.49,1.53,0.17,1
2023-07-07,22.11,22.71,22.11,22.5,58468,0.39,0.6,1.73,2.67,0.3,1
2023-07-06,22.48,22.48,21.71,22.12,21316,-0.36,0.77,-1.63,3.48,0.38,-1
2023-07-05,22.52,22.87,22.38,22.63,36663,0.11,0.49,0.49,2.17,0.25,-1
2023-07-03,22.02,22.77,21.95,22.71,20149,0.69,0.82,3.04,3.62,0.41,1
2023-06-30,23.13,23.61,21.78,22.08,43765,-1.05,1.82,-4.76,8.27,0.91,-1
2023-06-29,23.22,23.7,22.76,22.97,24867,-0.25,0.93,-1.09,4.07,0.47,-1
2023-06-28,23.15,23.15,22.9,22.99,19204,-0.16,0.25,-0.7,1.09,0.12,-1
2023-06-27,23.27,23.69,23.07,23.23,23897,-0.04,0.62,-0.17,2.67,0.31,1
2023-06-26,23.06,23.32,23.0,23.09,21170,0.03,0.32,0.13,1.41,0.16,1
2023-06-23,22.8,23.37,22.66,23.06,118226,0.26,0.71,1.13,3.06,0.35,-1
2023-06-22,23.54,23.54,23.11,23.14,18447,-0.4,0.43,-1.73,1.86,0.21,-1
2023-06-21,24.32,24.38,23.76,23.83,26286,-0.49,0.62,-2.06,2.6,0.31,-1
2023-06-20,24.13,24.52,23.79,24.25,40825,0.12,0.73,0.49,3.01,0.37,1
2023-06-16,24.99,25.01,23.89,24.13,57025,-0.86,1.12,-3.56,4.64,0.56,-1
2023-06-15,24.7,24.99,24.55,24.77,30085,0.07,0.44,0.28,1.78,0.22,-1
2023-06-14,25.6,25.84,24.67,24.79,54092,-0.82,1.16,-3.29,4.7,0.58,-1
2023-06-13,24.84,25.8,24.45,25.7,42193,0.86,1.35,3.35,5.25,0.68,1
2023-06-12,24.31,25.09,24.31,24.64,27858,0.33,0.78,1.34,3.18,0.39,1
2023-06-09,24.88,24.88,24.5,24.63,41995,-0.25,0.38,-1.02,1.52,0.19,-1
2023-06-08,25.66,25.66,23.91,24.83,60470,-0.83,1.75,-3.34,7.05,0.88,-1
2023-06-07,25.14,25.92,25.14,25.7,47787,0.56,0.78,2.18,3.04,0.39,1
2023-06-06,23.35,25.21,23.35,24.98,51633,1.63,1.86,6.53,7.45,0.93,1
2023-06-05,23.76,23.76,23.05,23.41,55142,-0.35,0.71,-1.5,3.03,0.36,-1
2023-06-02,23.11,24.02,22.77,23.93,101663,0.82,1.25,3.43,5.22,0.62,1
2023-06-01,22.33,23.03,22.13,22.73,53610,0.4,0.9,1.76,3.97,0.45,1
2023-05-31,22.89,22.89,22.06,22.18,50688,-0.71,0.83,-3.2,3.74,0.42,-1
2023-05-30,23.0,23.06,22.53,22.77,47718,-0.23,0.53,-1.01,2.33,0.26,-1
2023-05-26,22.19,23.11,22.19,23.02,59297,0.83,0.92,3.61,4.0,0.46,1
2023-05-25,22.49,22.62,21.89,22.26,32599,-0.23,0.73,-1.03,3.28,0.37,-1
2023-05-24,22.93,22.95,22.47,22.49,54547,-0.44,0.48,-1.96,2.13,0.24,-1
2023-05-23,22.06,23.42,22.03,23.08,50791,1.02,1.39,4.42,6.04,0.7,1
2023-05-22,21.57,22.4,21.12,22.12,58084,0.55,1.28,2.49,5.79,0.64,1
2023-05-19,21.86,21.88,21.06,21.3,43957,-0.56,0.82,-2.63,3.85,0.41,-1
2023-05-18,21.49,21.61,21.02,21.58,46626,0.09,0.59,0.42,2.73,0.29,1
2023-05-17,20.18,21.46,19.86,21.44,57603,1.26,1.6,5.88,7.46,0.8,1
2023-05-16,20.3,20.3,19.78,19.78,36381,-0.52,0.52,-2.63,2.63,0.26,-1
2023-05-15,19.79,20.57,19.7,20.22,61322,0.43,0.87,2.13,4.29,0.43,1
2023-05-12,19.4,19.78,18.91,19.74,37926,0.34,0.87,1.7,4.41,0.44,1
2023-05-11,19.0,19.7,18.87,19.47,70383,0.47,0.83,2.41,4.26,0.41,1
2023-05-10,18.78,18.96,18.32,18.8,59383,0.02,0.64,0.11,3.4,0.32,1
2023-05-09,19.18,20.33,18.45,18.55,47193,-0.63,1.88,-3.4,10.12,0.94,-1
2023-05-08,20.32,20.32,19.35,19.48,49644,-0.84,0.97,-4.31,4.98,0.48,-1
2023-05-05,19.5,20.28,19.5,20.13,61595,0.63,0.78,3.13,3.87,0.39,1
2023-05-04,19.25,19.8,18.25,19.08,91554,-0.17,1.55,-0.89,8.15,0.78,-1
2023-05-03,19.9,20.2,19.3,19.36,63881,-0.54,0.9,-2.79,4.65,0.45,-1
2023-05-02,21.79,21.79,19.75,19.93,38085,-1.86,2.04,-9.33,10.24,1.02,-1
2023-05-01,22.73,23.0,21.79,21.88,43963,-0.85,1.21,-3.88,5.53,0.61,-1
2023-04-28,22.14,22.95,22.11,22.62,38808,0.48,0.84,2.12,3.71,0.42,1
2023-04-27,22.05,22.47,21.51,22.4,21860,0.35,0.96,1.56,4.3,0.48,1
2023-04-26,22.85,22.85,21.45,21.98,42843,-0.87,1.4,-3.96,6.37,0.7,-1
2023-04-25,23.34,23.5,22.82,22.91,20061,-0.43,0.68,-1.88,2.97,0.34,-1
2023-04-24,23.27,23.74,23.27,23.55,20600,0.28,0.47,1.19,2.0,0.23,1
2023-04-21,23.43,23.54,23.13,23.39,77961,-0.04,0.41,-0.17,1.75,0.21,-1
2023-04-20,23.66,23.96,23.33,23.48,19617,-0.18,0.62,-0.77,2.66,0.31,-1
2023-04-19,23.52,23.96,23.44,23.78,26136,0.26,0.52,1.09,2.19,0.26,1
2023-04-18,24.44,24.44,23.52,23.59,18922,-0.85,0.93,-3.6,3.92,0.46,-1
2023-04-17,23.9,24.33,23.46,24.33,34882,0.43,0.87,1.77,3.58,0.43,1
2023-04-14,24.62,24.62,23.92,23.99,37659,-0.63,0.7,-2.63,2.92,0.35,-1
2023-04-13,24.51,24.75,24.44,24.58,31920,0.07,0.31,0.28,1.26,0.15,1
2023-04-12,24.91,24.91,24.4,24.56,23554,-0.35,0.51,-1.43,2.08,0.26,-1
2023-04-11,24.72,25.21,24.72,24.86,25227,0.14,0.49,0.56,1.97,0.25,1
2023-04-10,24.51,25.04,24.51,24.79,57398,0.28,0.53,1.13,2.14,0.26,1
2023-04-06,24.74,24.93,24.6,24.7,20672,-0.04,0.33,-0.16,1.34,0.16,1
2023-04-05,24.61,24.86,24.52,24.69,17480,0.08,0.34,0.32,1.36,0.17,1
2023-04-04,25.74,25.74,24.61,24.68,31860,-1.06,1.13,-4.29,4.58,0.56,-1
2023-04-03,25.41,25.91,25.39,25.53,40882,0.12,0.52,0.47,2.04,0.26,-1
2023-03-31,25.7,26.1,25.3,25.61,120128,-0.09,0.8,-0.35,3.12,0.4,1
2023-03-30,25.9,26.14,25.36,25.59,17211,-0.31,0.78,-1.21,3.05,0.39,-1
2023-03-29,25.98,25.98,25.41,25.8,26792,-0.18,0.57,-0.68,2.19,0.28,-1
2023-03-28,25.69,25.84,25.5,25.8,20045,0.11,0.34,0.43,1.3,0.17,1
2023-03-27,26.61,26.72,25.53,25.74,44638,-0.87,1.19,-3.38,4.62,0.59,-1
2023-03-24,26.0,26.37,25.52,26.3,34244,0.3,0.85,1.14,3.23,0.43,1
2023-03-23,26.45,26.82,25.67,26.11,41727,-0.34,1.15,-1.3,4.4,0.57,-1
2023-03-22,27.62,27.62,26.04,26.17,33153,-1.45,1.58,-5.54,6.04,0.79,-1
2023-03-21,27.06,27.69,27.06,27.58,27502,0.52,0.63,1.89,2.28,0.32,1
2023-03-20,26.86,27.21,26.72,26.75,55522,-0.11,0.49,-0.41,1.83,0.25,1
2023-03-17,27.13,27.13,26.35,26.63,92027,-0.5,0.78,-1.88,2.93,0.39,-1
2023-03-16,26.16,27.6,26.12,27.27,39449,1.11,1.48,4.07,5.43,0.74,1
2023-03-15,25.9,26.76,25.59,26.65,54931,0.75,1.17,2.81,4.39,0.59,1
2023-03-14,27.12,27.5,25.9,26.3,48347,-0.82,1.6,-3.12,6.08,0.8,1
2023-03-13,27.18,27.44,25.62,26.15,71616,-1.03,1.82,-3.94,6.98,0.91,-1
2023-03-10,28.31,28.51,27.23,27.69,56620,-0.62,1.28,-2.24,4.62,0.64,-1
2023-03-09,29.08,29.1,28.28,28.5,46593,-0.58,0.82,-2.04,2.88,0.41,-1
2023-03-08,29.57,29.7,29.25,29.56,22689,-0.01,0.45,-0.03,1.52,0.22,-1
2023-03-07,29.81,29.84,29.45,29.57,14286,-0.24,0.39,-0.81,1.34,0.2,-1
2023-03-06,30.09,30.11,29.52,29.99,47970,-0.1,0.59,-0.33,1.97,0.29,-1
2023-03-03,30.04,30.07,29.72,29.99,24304,-0.05,0.35,-0.17,1.17,0.18,-1
2023-03-02,30.36,30.38,30.0,30.05,13888,-0.31,0.38,-1.03,1.25,0.19,-1
2023-03-01,30.41,30.41,30.03,30.36,14094,-0.05,0.38,-0.16,1.25,0.19,-1
2023-02-28,30.86,31.0,30.49,30.6,34016,-0.26,0.51,-0.85,1.67,0.26,-1
2023-02-27,30.64,30.89,30.42,30.72,15092,0.08,0.47,0.27,1.53,0.23,1
2023-02-24,30.82,30.82,30.26,30.5,28726,-0.32,0.57,-1.05,1.85,0.28,-1
2023-02-23,30.85,31.02,30.71,30.93,18171,0.08,0.31,0.26,1.0,0.15,1
2023-02-22,30.89,31.07,30.65,30.72,23898,-0.17,0.42,-0.55,1.37,0.21,-1
2023-02-21,31.38,31.57,30.86,30.88,28980,-0.5,0.71,-1.62,2.29,0.35,-1
2023-02-17,31.31,31.45,31.14,31.34,20125,0.03,0.31,0.1,0.99,0.15,1
