Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-02,23.6,23.6,23.25,23.55,8301,-0.05,0.35,-0.21,1.49,0.18,-1
2023-08-01,23.89,23.98,23.67,23.78,16143,-0.11,0.31,-0.46,1.3,0.15,-1
2023-07-31,23.3,24.01,23.3,23.8,24769,0.5,0.71,2.1,2.98,0.36,1
2023-07-28,23.91,23.94,23.15,23.27,24621,-0.64,0.79,-2.75,3.39,0.4,-1
2023-07-27,23.92,23.92,23.61,23.79,12081,-0.13,0.31,-0.55,1.3,0.15,-1
2023-07-26,23.9,24.08,23.73,23.92,27658,0.02,0.35,0.08,1.46,0.17,1
2023-07-25,24.19,24.19,23.5,23.91,19900,-0.28,0.69,-1.17,2.88,0.34,-1
2023-07-24,24.38,24.38,23.82,24.35,19531,-0.03,0.56,-0.12,2.3,0.28,1
2023-07-21,24.5,24.5,24.07,24.25,14364,-0.25,0.43,-1.03,1.76,0.21,-1
2023-07-20,24.52,24.7,24.16,24.5,11855,-0.02,0.54,-0.08,2.2,0.27,-1
2023-07-19,24.39,24.71,24.36,24.53,17838,0.14,0.35,0.57,1.43,0.17,1
2023-07-18,24.18,24.36,24.01,24.32,15767,0.14,0.35,0.58,1.43,0.17,1
2023-07-17,24.25,24.28,24.0,24.14,14215,-0.11,0.28,-0.46,1.16,0.14,1
2023-07-14,24.36,24.36,23.82,24.01,20111,-0.35,0.54,-1.46,2.25,0.27,-1
2023-07-13,24.4,24.4,24.02,24.34,15785,-0.06,0.38,-0.25,1.56,0.19,-1
2023-07-12,24.4,24.49,23.79,24.45,29304,0.05,0.7,0.2,2.85,0.35,1
2023-07-11,23.44,24.11,23.39,24.08,23439,0.64,0.72,2.66,2.99,0.36,1
2023-07-10,22.77,23.4,22.77,23.27,17190,0.5,0.63,2.15,2.71,0.31,1
2023-07-07,22.9,23.3,22.77,22.78,12348,-0.12,0.53,-0.53,2.33,0.27,1
2023-07-06,23.21,23.34,22.62,22.7,25834,-0.51,0.72,-2.25,3.17,0.36,-1
2023-07-05,23.22,23.88,23.2,23.2,19863,-0.02,0.68,-0.09,2.91,0.34,-1
2023-07-03,23.36,24.0,23.12,23.37,8516,0.01,0.88,0.04,3.75,0.44,-1
2023-06-30,23.27,23.89,23.23,23.37,42429,0.1,0.66,0.43,2.81,0.33,1
2023-06-29,23.86,23.92,23.01,23.11,12412,-0.75,0.91,-3.25,3.94,0.46,-1
2023-06-28,23.78,24.2,23.42,23.88,38930,0.1,0.78,0.42,3.27,0.39,1
2023-06-27,23.59,23.82,23.45,23.78,14886,0.19,0.37,0.8,1.56,0.19,1
2023-06-26,23.5,23.7,23.2,23.2,16972,-0.3,0.5,-1.29,2.16,0.25,-1
2023-06-23,23.04,23.4,23.04,23.2,15215,0.16,0.36,0.69,1.55,0.18,1
2023-06-22,23.23,23.24,22.86,22.91,9814,-0.32,0.38,-1.4,1.66,0.19,-1
2023-06-21,22.72,23.3,22.67,23.24,10503,0.52,0.63,2.24,2.71,0.31,1
2023-06-20,23.39,23.4,22.74,22.81,17123,-0.58,0.67,-2.54,2.92,0.33,-1
2023-06-16,23.47,23.65,23.18,23.18,12705,-0.29,0.47,-1.25,2.03,0.23,-1
2023-06-15,23.48,23.68,23.25,23.26,19790,-0.22,0.43,-0.95,1.85,0.21,-1
2023-06-14,23.76,23.82,23.15,23.34,13789,-0.42,0.67,-1.8,2.87,0.33,-1
