Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-07-28,37.85,38.11,37.39,37.9,121306,0.05,0.72,0.13,1.9,0.36,33.84,34.36,1.06,0.57,0.5,16736714,7.42,100.0,3.33,1.0,96.67,Strong Buy Signal,37.69,33.84,30.0,0.23,53.98,Target Volume,Expected Range,11.85,Absent or Weak Trend
2023-07-27,37.4,37.84,37.18,37.52,189746,0.12,0.66,0.32,1.76,0.33,33.7,34.24,0.94,0.45,0.49,16615408,6.55,100.0,5.0,1.0,95.0,Strong Buy Signal,37.57,33.7,29.83,0.23,53.47,Target Volume,Expected Range,11.93,Absent or Weak Trend
2023-07-26,36.31,37.66,36.25,37.38,194052,1.07,1.41,2.86,3.79,0.71,33.6,34.12,0.8,0.32,0.48,16425662,6.0,100.0,6.67,1.0,93.33,Strong Buy Signal,37.38,33.6,29.82,0.22,53.29,Target Volume,Expected Range,12.02,Absent or Weak Trend
2023-07-25,36.13,36.41,35.78,35.95,128144,-0.18,0.63,-0.5,1.77,0.32,33.51,34.01,0.63,0.2,0.43,16231610,1.87,46.67,8.33,1.0,38.33,Weak Buy Signal,37.18,33.51,29.84,0.22,51.32,Target Volume,Expected Range,12.12,Absent or Weak Trend
2023-07-24,35.27,36.56,35.27,36.15,135872,0.88,1.29,2.43,3.57,0.64,33.44,33.95,0.55,0.1,0.45,16359754,1.87,48.33,10.0,1.0,38.33,Weak Buy Signal,37.08,33.44,29.8,0.22,51.62,Target Volume,Expected Range,12.29,Absent or Weak Trend
2023-07-21,36.05,36.05,35.31,35.38,127821,-0.67,0.74,-1.89,2.09,0.37,33.37,33.87,0.41,-0.02,0.43,16223882,0.14,50.0,11.67,1.0,38.33,Weak Buy Signal,36.96,33.37,29.78,0.22,50.53,Target Volume,Expected Range,12.47,Absent or Weak Trend
2023-07-20,35.54,35.82,34.99,35.79,170522,0.25,0.83,0.7,2.32,0.41,33.32,33.82,0.31,-0.13,0.44,16351703,0.64,51.67,13.33,1.0,38.33,Weak Buy Signal,36.88,33.32,29.75,0.21,51.13,Target Volume,Expected Range,12.68,Absent or Weak Trend
2023-07-19,34.91,35.62,34.56,35.53,199457,0.62,1.05,1.75,2.97,0.53,33.27,33.76,0.14,-0.24,0.38,16181181,1.32,53.33,15.0,1.0,38.33,Weak Buy Signal,36.77,33.27,29.76,0.21,50.77,Target Volume,Expected Range,12.88,Absent or Weak Trend
2023-07-18,33.58,34.88,33.5,34.73,157112,1.15,1.38,3.31,3.97,0.69,33.22,33.7,-0.05,-0.33,0.28,15981724,3.87,55.0,16.67,1.0,38.33,Weak Buy Signal,36.68,33.22,29.77,0.21,49.62,Target Volume,Expected Range,13.08,Absent or Weak Trend
2023-07-17,33.02,33.7,33.02,33.53,199470,0.51,0.68,1.52,2.03,0.34,33.2,33.66,-0.22,-0.4,0.18,15824612,8.15,56.67,18.33,1.0,38.33,Weak Buy Signal,36.63,33.2,29.76,0.21,47.83,Target Volume,Expected Range,13.24,Absent or Weak Trend
