Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-08-03,35.79,35.79,31.76,32.82,37491,-2.97,4.03,-9.05,12.28,2.01,30.06,31.01,1.12,1.15,-0.03,911158,2.61,100.0,25.0,1.0,75.0,Strong Buy Signal,35.07,30.06,25.06,0.33,53.4,Target Volume,Expected Range,7.05,Absent or Weak Trend
2023-08-02,34.42,35.24,34.26,34.5,25043,0.08,0.98,0.23,2.84,0.49,30.01,30.95,1.29,1.16,0.13,948649,5.83,88.33,26.67,1.0,61.67,Weak Buy Signal,34.96,30.01,25.05,0.33,56.02,Target Volume,Expected Range,7.13,Absent or Weak Trend
2023-08-01,33.45,35.1,33.45,35.07,40807,1.62,1.65,4.62,4.7,0.82,29.91,30.83,1.31,1.13,0.18,973692,5.37,90.0,28.33,1.0,61.67,Weak Buy Signal,34.73,29.91,25.09,0.32,56.95,Target Volume,Expected Range,7.15,Absent or Weak Trend
2023-07-31,34.53,34.53,33.39,33.76,21883,-0.77,1.14,-2.28,3.38,0.57,29.79,30.68,1.27,1.08,0.18,932885,3.52,91.67,30.0,1.0,61.67,Weak Buy Signal,34.45,29.79,25.13,0.31,55.27,Target Volume,Expected Range,7.18,Absent or Weak Trend
2023-07-28,34.33,34.57,34.2,34.36,13151,0.03,0.37,0.09,1.08,0.18,29.7,30.58,1.32,1.04,0.29,954768,6.43,93.33,31.67,1.0,61.67,Weak Buy Signal,34.26,29.7,25.14,0.31,56.26,Target Volume,Expected Range,7.24,Absent or Weak Trend
2023-07-27,34.83,35.04,33.81,34.15,15947,-0.68,1.23,-1.99,3.6,0.61,29.6,30.45,1.31,0.96,0.35,941617,6.43,95.0,33.33,1.0,61.67,Weak Buy Signal,34.01,29.6,25.2,0.3,55.99,Target Volume,Expected Range,7.26,Absent or Weak Trend
2023-07-26,34.53,35.14,34.3,34.51,18701,-0.02,0.84,-0.06,2.42,0.42,29.51,30.32,1.3,0.88,0.42,957564,8.23,96.67,35.0,1.0,61.67,Weak Buy Signal,33.76,29.51,25.26,0.29,56.58,Target Volume,Expected Range,7.27,Absent or Weak Trend
2023-07-25,34.79,35.24,34.44,34.49,18861,-0.3,0.8,-0.87,2.32,0.4,29.41,30.18,1.23,0.77,0.46,938863,8.72,98.33,36.67,1.0,61.67,Weak Buy Signal,33.46,29.41,25.36,0.28,56.56,Target Volume,Expected Range,7.26,Absent or Weak Trend
2023-07-24,34.12,35.52,33.99,34.94,44139,0.82,1.52,2.35,4.36,0.76,29.29,30.04,1.13,0.66,0.47,957724,8.72,100.0,38.33,1.0,61.67,Weak Buy Signal,33.16,29.29,25.41,0.26,57.29,Target Volume,Expected Range,7.23,Absent or Weak Trend
2023-07-21,34.0,34.4,33.34,34.16,38998,0.16,1.06,0.47,3.1,0.53,29.16,29.87,0.94,0.54,0.4,913585,5.28,100.0,40.0,1.0,60.0,Weak Buy Signal,32.78,29.16,25.53,0.25,56.33,Target Volume,Expected Range,7.21,Absent or Weak Trend
2023-07-20,33.51,33.9,33.2,33.7,56170,0.19,0.7,0.56,2.08,0.35,29.05,29.72,0.75,0.44,0.31,874587,3.68,98.33,41.67,1.0,56.67,Weak Buy Signal,32.45,29.05,25.65,0.23,55.75,Target Volume,Expected Range,7.24,Absent or Weak Trend
2023-07-19,31.95,34.24,31.95,33.35,58277,1.4,2.29,4.2,6.87,1.15,28.98,29.59,0.56,0.36,0.2,818417,3.68,100.0,43.33,1.0,56.67,Weak Buy Signal,32.16,28.98,25.8,0.22,55.3,Target Volume,Expected Range,7.3,Absent or Weak Trend
2023-07-18,30.32,31.98,30.0,31.95,56411,1.63,1.98,5.1,6.2,0.99,28.91,29.46,0.33,0.31,0.02,760140,4.01,100.0,45.0,1.0,55.0,Weak Buy Signal,31.88,28.91,25.94,0.21,53.47,Target Volume,Expected Range,7.36,Absent or Weak Trend
2023-07-17,29.24,30.62,29.24,30.01,37860,0.77,1.38,2.57,4.6,0.69,28.88,29.38,0.19,0.31,-0.12,703729,9.16,73.33,46.67,1.0,26.67,Weak Buy Signal,31.78,28.88,25.99,0.2,50.72,Target Volume,Expected Range,7.42,Absent or Weak Trend
2023-07-14,29.98,30.44,29.23,29.56,16500,-0.42,1.21,-1.42,4.09,0.61,28.88,29.36,0.19,0.34,-0.15,665869,9.87,75.0,48.33,1.0,26.67,Weak Buy Signal,31.77,28.88,25.99,0.2,50.04,Target Volume,Expected Range,7.39,Absent or Weak Trend
2023-07-13,30.0,30.35,29.67,29.74,16669,-0.26,0.68,-0.87,2.29,0.34,28.88,29.35,0.24,0.37,-0.13,682369,8.44,76.67,50.0,1.0,26.67,Weak Buy Signal,31.77,28.88,25.99,0.2,50.31,Target Volume,Expected Range,7.35,Absent or Weak Trend
2023-07-12,30.29,30.29,28.8,29.9,26980,-0.39,1.49,-1.3,4.98,0.74,28.89,29.34,0.29,0.41,-0.12,699038,8.67,78.33,51.67,1.0,26.67,Weak Buy Signal,31.78,28.89,25.99,0.2,50.55,Target Volume,Expected Range,7.33,Absent or Weak Trend
2023-07-11,29.97,30.26,29.68,29.78,24842,-0.19,0.58,-0.64,1.95,0.29,28.88,29.32,0.32,0.44,-0.11,672058,5.78,80.0,53.33,1.0,26.67,Weak Buy Signal,31.77,28.88,25.99,0.2,50.38,Target Volume,Expected Range,7.3,Absent or Weak Trend
2023-07-10,30.31,30.51,29.64,30.0,27601,-0.31,0.87,-1.03,2.9,0.44,28.87,29.3,0.38,0.46,-0.09,696900,5.78,81.67,55.0,1.0,26.67,Weak Buy Signal,31.75,28.87,25.99,0.2,50.7,Target Volume,Expected Range,7.33,Absent or Weak Trend
2023-07-07,30.35,30.99,30.0,30.26,75867,-0.09,0.99,-0.3,3.27,0.49,28.86,29.28,0.42,0.49,-0.07,724501,4.58,83.33,56.67,1.0,26.67,Weak Buy Signal,31.73,28.86,26.0,0.2,51.08,Target Volume,Expected Range,7.36,Absent or Weak Trend
2023-07-06,30.14,30.49,29.25,30.23,40876,0.09,1.24,0.3,4.1,0.62,28.84,29.24,0.44,0.5,-0.07,648634,6.43,85.0,58.33,1.0,26.67,Weak Buy Signal,31.69,28.84,26.0,0.2,51.04,Target Volume,Expected Range,7.4,Absent or Weak Trend
2023-07-05,29.65,30.74,29.4,30.43,44972,0.78,1.34,2.56,4.4,0.67,28.81,29.21,0.46,0.52,-0.07,689510,5.94,86.67,60.0,1.0,26.67,Weak Buy Signal,31.64,28.81,25.99,0.2,51.32,Target Volume,Expected Range,7.42,Absent or Weak Trend
2023-07-03,29.75,30.56,29.75,29.91,15968,0.16,0.81,0.53,2.71,0.4,28.76,29.17,0.45,0.54,-0.08,644538,4.79,88.33,61.67,1.0,26.67,Weak Buy Signal,31.58,28.76,25.95,0.2,50.62,Target Volume,Expected Range,7.44,Absent or Weak Trend
2023-06-30,30.82,30.82,29.9,29.97,46558,-0.85,0.92,-2.84,3.07,0.46,28.72,29.14,0.5,0.56,-0.06,660506,4.3,90.0,63.33,1.0,26.67,Weak Buy Signal,31.54,28.72,25.89,0.2,50.7,Target Volume,Expected Range,7.49,Absent or Weak Trend
2023-06-29,30.3,30.95,30.21,30.69,44667,0.39,0.74,1.27,2.41,0.37,28.67,29.12,0.54,0.57,-0.03,707064,3.29,91.67,65.0,1.0,26.67,Weak Buy Signal,31.51,28.67,25.83,0.2,51.7,Target Volume,Expected Range,7.54,Absent or Weak Trend
2023-06-28,29.79,30.56,29.74,30.16,35090,0.37,0.82,1.23,2.72,0.41,28.61,29.06,0.52,0.58,-0.06,662397,4.66,93.33,66.67,1.0,26.67,Weak Buy Signal,31.42,28.61,25.8,0.2,51.0,Target Volume,Expected Range,7.62,Absent or Weak Trend
2023-06-27,29.29,30.31,29.09,29.92,27727,0.63,1.22,2.11,4.08,0.61,28.56,29.03,0.53,0.6,-0.07,627307,5.54,95.0,68.33,1.0,26.67,Weak Buy Signal,31.37,28.56,25.75,0.2,50.68,Target Volume,Expected Range,7.67,Absent or Weak Trend
2023-06-26,28.4,29.82,28.4,29.23,47329,0.83,1.42,2.84,4.84,0.71,28.49,29.0,0.56,0.61,-0.05,599580,7.3,96.67,70.0,1.0,26.67,Weak Buy Signal,31.36,28.49,25.63,0.2,49.75,Target Volume,Expected Range,7.7,Absent or Weak Trend
2023-06-23,31.2,31.3,27.9,28.72,866706,-2.48,3.41,-8.64,11.86,1.7,28.45,28.99,0.67,0.63,0.04,552251,7.3,98.33,0.0,1.0,98.33,Strong Buy Signal,31.35,28.45,25.55,0.2,49.06,Target Volume,Expected Range,7.71,Absent or Weak Trend
2023-06-22,30.94,31.69,30.89,31.54,47313,0.6,0.8,1.9,2.54,0.4,28.4,29.0,0.85,0.61,0.23,1418957,2.72,100.0,1.67,1.0,98.33,Strong Buy Signal,31.39,28.4,25.4,0.21,53.06,Target Volume,Expected Range,7.72,Absent or Weak Trend
