Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-30,24.74,24.94,24.61,24.82,24526,0.08,0.33,0.3,1.33,0.17,1
2023-08-29,24.56,24.82,24.52,24.8,11450,0.25,0.31,0.99,1.23,0.15,1
2023-08-28,24.69,24.69,24.55,24.63,8499,-0.06,0.14,-0.24,0.55,0.07,-1
2023-08-25,24.51,24.68,24.32,24.66,16428,0.15,0.36,0.61,1.44,0.18,1
2023-08-24,24.51,24.57,24.35,24.42,18035,-0.09,0.22,-0.37,0.9,0.11,-1
2023-08-23,24.26,24.46,24.26,24.44,8982,0.18,0.2,0.74,0.82,0.1,1
2023-08-22,24.24,24.33,24.2,24.23,107222,-0.01,0.13,-0.04,0.54,0.06,-1
2023-08-21,24.21,24.32,24.21,24.28,13628,0.07,0.11,0.29,0.45,0.05,1
2023-08-18,24.21,24.48,24.16,24.17,15869,-0.04,0.32,-0.17,1.31,0.16,-1
2023-08-17,24.4,24.42,24.27,24.3,13649,-0.1,0.14,-0.41,0.6,0.07,-1
2023-08-16,24.55,24.62,24.51,24.51,17794,-0.04,0.11,-0.16,0.43,0.05,-1
2023-08-15,24.81,24.88,24.51,24.51,11869,-0.3,0.37,-1.22,1.51,0.18,-1
2023-08-14,24.81,24.88,24.75,24.8,7676,-0.01,0.13,-0.05,0.52,0.06,1
2023-08-11,24.71,24.92,24.71,24.74,15811,0.02,0.21,0.1,0.85,0.11,-1
2023-08-10,25.0,25.04,24.72,24.78,23164,-0.22,0.32,-0.89,1.28,0.16,-1
2023-08-09,25.04,25.09,24.86,25.0,7663,-0.04,0.23,-0.16,0.92,0.12,-1
2023-08-08,24.86,25.06,24.86,25.0,10736,0.14,0.2,0.56,0.8,0.1,-1
2023-08-07,24.77,25.16,24.77,25.01,10059,0.24,0.39,0.96,1.56,0.2,1
2023-08-04,24.75,25.09,24.75,24.84,16165,0.09,0.34,0.36,1.37,0.17,1
