Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-11,25.14,25.15,25.07,25.12,48382,-0.02,0.08,-0.08,0.32,0.04,-1
2023-08-10,25.13,25.25,25.08,25.13,133860,0.0,0.17,0.0,0.68,0.09,1
2023-08-09,25.08,25.16,25.07,25.11,38159,0.03,0.09,0.12,0.36,0.04,1
2023-08-08,25.07,25.14,25.02,25.08,31979,0.01,0.12,0.04,0.48,0.06,-1
2023-08-07,25.11,25.19,25.11,25.14,98735,0.03,0.08,0.12,0.32,0.04,1
2023-08-04,25.03,25.25,25.03,25.12,29932,0.09,0.22,0.36,0.88,0.11,1
2023-08-03,24.98,25.08,24.95,25.01,39610,0.03,0.13,0.12,0.52,0.06,-1
2023-08-02,25.05,25.17,25.0,25.09,41519,0.04,0.17,0.16,0.68,0.09,-1
2023-08-01,25.25,25.34,25.19,25.21,74110,-0.04,0.15,-0.16,0.6,0.07,-1
2023-07-31,25.2,25.39,25.2,25.33,66888,0.13,0.19,0.51,0.75,0.1,1
2023-07-28,25.24,25.3,25.16,25.2,31466,-0.04,0.14,-0.16,0.56,0.07,-1
2023-07-27,25.27,25.38,25.14,25.2,80357,-0.07,0.24,-0.28,0.95,0.12,-1
2023-07-26,25.16,25.32,25.16,25.3,39534,0.14,0.16,0.55,0.63,0.08,1
2023-07-25,25.19,25.2,25.16,25.16,27408,-0.03,0.04,-0.12,0.16,0.02,-1
2023-07-24,25.17,25.25,25.17,25.2,47861,0.03,0.08,0.12,0.32,0.04,1
2023-07-21,25.15,25.23,25.15,25.19,61904,0.04,0.08,0.16,0.32,0.04,1
2023-07-20,25.12,25.18,25.1,25.16,67401,0.04,0.08,0.16,0.33,0.04,-1
2023-07-19,25.1,25.19,25.1,25.18,32363,0.08,0.09,0.32,0.36,0.04,1
2023-07-18,24.94,25.05,24.93,25.02,54353,0.08,0.12,0.32,0.48,0.06,1
2023-07-17,24.92,24.95,24.8,24.85,73648,-0.07,0.15,-0.28,0.59,0.07,-1
2023-07-14,25.04,25.07,24.9,24.92,56328,-0.12,0.17,-0.48,0.66,0.08,-1
2023-07-13,25.01,25.13,25.01,25.1,33455,0.09,0.12,0.36,0.48,0.06,1
2023-07-12,25.05,25.14,25.01,25.01,45437,-0.04,0.13,-0.16,0.52,0.06,1
2023-07-11,24.92,25.02,24.88,24.99,37151,0.07,0.14,0.28,0.57,0.07,1
2023-07-10,24.91,24.99,24.89,24.91,32520,0.0,0.1,0.0,0.4,0.05,1
2023-07-07,24.7,24.96,24.7,24.88,57243,0.18,0.26,0.72,1.05,0.13,1
2023-07-06,24.82,24.88,24.66,24.76,81881,-0.06,0.22,-0.24,0.89,0.11,-1
2023-07-05,25.11,25.17,24.96,24.96,74989,-0.15,0.21,-0.6,0.84,0.11,-1
2023-07-03,24.93,25.17,24.93,25.11,34214,0.18,0.24,0.72,0.96,0.12,1
2023-06-30,24.84,25.03,24.84,25.0,153127,0.16,0.19,0.64,0.76,0.1,1
