Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-11,100.34,100.92,99.22,100.42,133802,0.08,1.7,0.08,1.69,0.85,1
2023-08-10,102.31,103.35,100.01,100.33,281187,-1.98,3.34,-1.97,3.33,1.67,-1
2023-08-09,101.59,102.68,101.55,102.3,268262,0.71,1.14,0.69,1.11,0.57,1
2023-08-08,103.68,104.9,101.49,101.59,363644,-2.09,3.41,-2.06,3.36,1.71,-1
2023-08-07,103.6,105.54,103.6,104.48,237118,0.88,1.94,0.84,1.86,0.97,1
2023-08-04,102.1,103.71,102.1,103.3,263063,1.2,1.61,1.16,1.56,0.8,1
2023-08-03,101.29,103.43,99.38,101.9,339808,0.61,4.05,0.6,3.97,2.03,-1
2023-08-02,102.61,104.64,102.61,104.42,170317,1.81,2.03,1.73,1.95,1.02,1
2023-08-01,103.24,104.37,102.66,103.41,191747,0.17,1.7,0.16,1.65,0.85,1
2023-07-31,104.69,104.93,102.42,103.19,300653,-1.5,2.5,-1.45,2.43,1.25,-1
2023-07-28,103.6,104.81,103.04,104.42,350901,0.82,1.77,0.79,1.7,0.88,1
2023-07-27,102.94,104.66,101.3,103.35,264303,0.41,3.36,0.4,3.25,1.68,1
2023-07-26,101.17,103.52,101.1,102.89,222673,1.72,2.43,1.67,2.36,1.21,1
2023-07-25,101.17,101.75,99.8,101.17,481356,0.0,1.94,0.0,1.92,0.97,-1
2023-07-24,102.95,103.34,101.86,102.36,189349,-0.59,1.48,-0.58,1.45,0.74,-1
2023-07-21,102.73,103.21,101.34,102.8,359938,0.07,1.87,0.07,1.82,0.94,1
2023-07-20,99.36,102.16,99.36,102.12,339648,2.76,2.8,2.7,2.74,1.4,1
2023-07-19,96.88,98.64,96.6,98.53,343893,1.65,2.04,1.67,2.07,1.02,1
2023-07-18,95.08,96.96,94.79,96.94,237012,1.86,2.17,1.92,2.24,1.08,1
2023-07-17,94.12,96.16,94.12,95.13,191196,1.01,2.04,1.06,2.14,1.02,1
2023-07-14,93.49,94.67,92.72,94.14,205895,0.65,1.95,0.69,2.07,0.98,1
2023-07-13,93.26,93.56,92.23,93.44,273898,0.18,1.33,0.19,1.42,0.66,-1
2023-07-12,95.03,95.33,93.7,93.9,358373,-1.13,1.64,-1.2,1.74,0.82,-1
2023-07-11,94.48,94.91,94.21,94.72,193798,0.24,0.7,0.25,0.74,0.35,1
2023-07-10,93.81,95.95,93.78,94.52,184419,0.71,2.17,0.75,2.3,1.09,1
2023-07-07,93.08,94.94,93.08,94.22,269072,1.14,1.86,1.21,1.97,0.93,1
2023-07-06,93.96,95.01,92.78,93.11,248969,-0.85,2.23,-0.91,2.4,1.12,-1
2023-07-05,95.35,96.15,94.37,94.81,328364,-0.54,1.78,-0.57,1.88,0.89,-1
2023-07-03,95.5,96.96,95.08,95.89,169134,0.39,1.88,0.41,1.96,0.94,-1
2023-06-30,97.34,97.71,95.86,95.95,447521,-1.39,1.85,-1.45,1.93,0.92,-1
2023-06-29,96.27,97.58,96.27,96.95,256747,0.68,1.31,0.7,1.36,0.66,1
2023-06-28,96.64,96.82,95.18,96.15,240432,-0.49,1.64,-0.51,1.71,0.82,-1
2023-06-27,96.4,97.93,95.25,97.04,179355,0.64,2.68,0.66,2.76,1.34,1
2023-06-26,96.61,97.44,95.5,96.32,245541,-0.29,1.94,-0.3,2.01,0.97,1
2023-06-23,96.4,96.94,95.24,96.23,2452432,-0.17,1.7,-0.18,1.77,0.85,-1
2023-06-22,98.5,98.5,97.14,97.4,139663,-1.1,1.36,-1.13,1.39,0.68,-1
2023-06-21,97.2,98.81,96.62,98.19,202758,0.99,2.19,1.01,2.23,1.09,1
2023-06-20,98.48,98.51,97.12,97.53,231336,-0.95,1.39,-0.97,1.43,0.7,-1
2023-06-16,99.48,99.88,98.01,98.56,615891,-0.92,1.87,-0.93,1.9,0.93,1
2023-06-15,98.08,98.86,97.39,98.33,278188,0.25,1.47,0.25,1.49,0.73,1
2023-06-14,99.26,101.81,97.42,98.0,295699,-1.26,4.39,-1.29,4.48,2.19,-1
2023-06-13,99.23,100.96,96.21,99.04,362915,-0.19,4.75,-0.19,4.8,2.38,1
2023-06-12,99.85,100.1,98.52,99.03,222963,-0.82,1.58,-0.83,1.6,0.79,-1
2023-06-09,100.34,100.87,99.4,99.87,270791,-0.47,1.48,-0.47,1.48,0.74,-1
2023-06-08,101.81,101.86,100.12,100.55,216019,-1.26,1.74,-1.25,1.73,0.87,-1
2023-06-07,98.98,102.28,97.98,101.98,313821,3.0,4.31,2.94,4.22,2.15,1
2023-06-06,96.38,99.08,96.38,98.95,241569,2.57,2.7,2.6,2.73,1.35,1
2023-06-05,98.15,98.15,95.67,96.17,307184,-1.98,2.48,-2.06,2.58,1.24,-1
2023-06-02,97.28,99.87,96.16,98.98,276666,1.7,3.71,1.72,3.75,1.86,1
2023-06-01,96.7,97.28,96.08,96.73,198305,0.03,1.2,0.03,1.24,0.6,-1
2023-05-31,99.98,100.14,96.65,96.73,308155,-3.25,3.49,-3.36,3.61,1.74,-1
2023-05-30,99.5,100.19,98.38,99.8,183059,0.3,1.81,0.3,1.82,0.91,1
2023-05-26,98.34,100.03,98.34,99.69,246890,1.35,1.69,1.35,1.7,0.84,1
2023-05-25,99.36,99.5,97.21,98.53,378892,-0.83,2.29,-0.84,2.32,1.14,-1
2023-05-24,101.2,101.47,99.19,99.95,325932,-1.25,2.28,-1.25,2.28,1.14,-1
2023-05-23,102.75,103.55,101.43,101.57,352391,-1.18,2.12,-1.16,2.09,1.06,-1
2023-05-22,102.99,103.34,101.64,103.1,323943,0.11,1.7,0.11,1.65,0.85,1
2023-05-19,102.94,102.94,100.82,102.56,433547,-0.38,2.12,-0.37,2.07,1.06,1
2023-05-18,100.0,101.63,99.65,101.47,361709,1.47,1.98,1.45,1.95,0.99,-1
2023-05-17,103.06,103.13,101.91,101.94,214623,-1.12,1.22,-1.1,1.2,0.61,-1
2023-05-16,103.2,103.66,100.6,102.96,249913,-0.24,3.07,-0.23,2.98,1.53,-1
2023-05-15,102.96,103.58,101.6,103.02,160255,0.06,1.98,0.06,1.92,0.99,1
2023-05-12,102.28,103.38,101.41,102.69,134413,0.41,1.97,0.4,1.92,0.98,1
2023-05-11,101.66,102.41,100.66,102.26,156631,0.6,1.75,0.59,1.71,0.88,1
2023-05-10,102.83,102.83,100.79,101.91,227869,-0.92,2.04,-0.9,2.0,1.02,-1
2023-05-09,103.5,104.37,102.47,102.54,275920,-0.96,1.9,-0.94,1.85,0.95,-1
2023-05-08,103.53,104.28,103.14,103.74,171681,0.21,1.14,0.2,1.1,0.57,1
2023-05-05,102.84,104.17,101.79,103.36,270851,0.52,2.38,0.5,2.3,1.19,1
2023-05-04,97.13,103.52,91.99,102.61,480556,5.48,11.53,5.34,11.24,5.76,1
