Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-10,21.65,21.67,20.86,21.15,18522,-0.5,0.81,-2.36,3.81,0.4,-1
2023-07-07,20.88,21.45,20.65,21.15,46022,0.27,0.8,1.28,3.78,0.4,1
2023-07-06,20.54,21.1,20.51,20.88,16274,0.34,0.59,1.61,2.83,0.29,-1
2023-07-05,21.43,21.43,21.0,21.22,14414,-0.21,0.43,-0.99,2.03,0.21,-1
2023-07-03,21.11,21.87,21.08,21.32,6581,0.21,0.79,0.98,3.71,0.4,1
2023-06-30,21.18,21.18,20.68,21.1,10921,-0.08,0.5,-0.38,2.36,0.25,1
2023-06-29,21.36,21.42,21.06,21.08,7395,-0.28,0.36,-1.33,1.71,0.18,-1
2023-06-28,21.44,21.46,21.02,21.34,10680,-0.1,0.44,-0.47,2.06,0.22,-1
2023-06-27,21.62,21.63,21.48,21.52,14578,-0.1,0.15,-0.46,0.7,0.07,1
2023-06-26,21.38,21.64,21.38,21.46,23186,0.08,0.27,0.37,1.23,0.13,1
2023-06-23,21.92,21.92,20.82,21.38,815661,-0.54,1.1,-2.53,5.14,0.55,-1
2023-06-22,21.87,21.9,21.55,21.8,28218,-0.07,0.35,-0.32,1.61,0.17,-1
2023-06-21,21.8,22.14,21.79,21.9,39111,0.1,0.35,0.46,1.6,0.18,1
2023-06-20,22.19,22.23,21.6,21.89,30758,-0.3,0.63,-1.37,2.88,0.31,-1
2023-06-16,21.7,22.14,21.53,22.0,51758,0.3,0.61,1.36,2.77,0.3,1
2023-06-15,21.48,22.42,21.38,21.99,22141,0.51,1.05,2.32,4.75,0.52,1
2023-06-14,21.8,21.83,21.55,21.55,17289,-0.25,0.28,-1.16,1.3,0.14,-1
2023-06-13,22.47,22.47,21.64,21.66,25627,-0.81,0.83,-3.74,3.83,0.41,1
2023-06-12,21.67,21.8,21.21,21.5,10972,-0.17,0.59,-0.79,2.77,0.3,1
2023-06-09,21.53,22.44,21.49,21.49,9034,-0.04,0.95,-0.19,4.42,0.48,1
2023-06-08,21.49,22.48,21.25,21.4,19224,-0.09,1.23,-0.42,5.75,0.62,-1
2023-06-07,20.52,21.53,20.49,21.5,29837,0.98,1.04,4.56,4.84,0.52,1
2023-06-06,20.1,20.54,20.1,20.53,6375,0.43,0.45,2.09,2.17,0.22,1
2023-06-05,20.02,20.27,19.61,19.85,13794,-0.17,0.66,-0.86,3.32,0.33,-1
2023-06-02,20.32,20.7,20.14,20.34,11179,0.02,0.56,0.11,2.75,0.28,1
2023-06-01,20.14,20.34,20.0,20.29,25867,0.15,0.34,0.74,1.7,0.17,1
2023-05-31,20.02,20.5,19.86,20.0,11613,-0.02,0.64,-0.12,3.2,0.32,-1
2023-05-30,20.25,20.57,20.05,20.12,6264,-0.13,0.52,-0.65,2.58,0.26,1
2023-05-26,20.65,20.65,19.9,20.02,6812,-0.63,0.75,-3.15,3.75,0.38,-1
2023-05-25,20.16,20.21,20.0,20.1,3743,-0.06,0.21,-0.3,1.04,0.11,-1
2023-05-24,20.54,20.54,20.06,20.17,7826,-0.37,0.48,-1.83,2.38,0.24,1
2023-05-23,20.25,20.5,20.07,20.16,6242,-0.09,0.43,-0.45,2.13,0.21,1
2023-05-22,20.4,20.52,20.06,20.14,21388,-0.25,0.46,-1.27,2.31,0.23,-1
2023-05-19,21.0,21.0,20.25,20.27,9228,-0.73,0.75,-3.6,3.7,0.38,-1
2023-05-18,20.43,20.99,20.16,20.6,18261,0.17,0.83,0.83,4.04,0.42,1
2023-05-17,20.5,20.64,20.2,20.45,17912,-0.05,0.44,-0.22,2.13,0.22,1
2023-05-16,20.6,20.6,20.25,20.3,18264,-0.29,0.34,-1.45,1.7,0.17,-1
2023-05-15,20.5,20.8,20.37,20.37,4262,-0.13,0.43,-0.64,2.11,0.21,1
2023-05-12,20.44,20.82,20.07,20.25,11365,-0.19,0.75,-0.94,3.73,0.38,-1
2023-05-11,20.27,20.73,20.27,20.39,40440,0.12,0.46,0.59,2.26,0.23,-1
2023-05-10,20.63,20.64,20.31,20.5,5536,-0.13,0.33,-0.63,1.61,0.17,1
2023-05-09,20.13,20.63,20.0,20.39,8669,0.26,0.63,1.28,3.09,0.31,1
