Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-10,12.49,12.58,12.38,12.38,843,-0.11,0.2,-0.89,1.65,0.1,1
2023-07-07,12.24,12.3,12.24,12.26,6967,0.02,0.06,0.16,0.49,0.03,1
2023-07-06,12.15,12.2,12.15,12.2,1170,0.05,0.05,0.39,0.39,0.02,1
2023-07-05,12.14,12.15,12.13,12.15,1737,0.01,0.02,0.08,0.16,0.01,1
2023-07-03,12.14,12.14,12.14,12.14,48,0.0,0.0,0.0,0.0,0.0,-1
2023-06-30,12.15,12.15,12.14,12.14,17561,-0.01,0.01,-0.08,0.08,0.0,1
2023-06-29,12.02,12.02,12.02,12.02,577,0.0,0.0,0.0,0.0,0.0,1
2023-06-28,11.97,11.97,11.97,11.97,178,0.0,0.0,0.0,0.0,0.0,-1
2023-06-27,12.02,12.05,12.0,12.0,3522,-0.02,0.05,-0.17,0.42,0.03,1
2023-06-26,11.91,11.91,11.91,11.91,291,0.0,0.0,0.0,0.0,0.0,-1
2023-06-23,11.99,11.99,11.83,11.92,1199,-0.07,0.16,-0.59,1.36,0.08,-1
2023-06-22,12.0,12.0,12.0,12.0,169,0.0,0.0,0.0,0.0,0.0,-1
2023-06-21,12.0,12.0,12.0,12.0,35,0.0,0.0,0.0,0.0,0.0,-1
2023-06-20,12.0,12.12,12.0,12.0,1626,0.0,0.12,0.0,0.97,0.06,-1
2023-06-16,12.07,12.15,12.07,12.15,7423,0.08,0.08,0.63,0.63,0.04,1
2023-06-15,12.02,12.11,11.9,11.91,1784,-0.11,0.21,-0.92,1.76,0.1,-1
2023-06-14,12.0,12.11,11.92,11.92,12128,-0.08,0.19,-0.67,1.59,0.09,-1
2023-06-13,12.0,12.09,12.0,12.0,2199,0.0,0.09,0.0,0.76,0.05,1
2023-06-12,11.8,11.92,11.8,11.92,502,0.12,0.12,1.02,1.02,0.06,1
2023-06-09,11.72,11.78,11.72,11.76,1883,0.04,0.06,0.34,0.51,0.03,1
2023-06-08,11.99,11.99,11.72,11.74,563,-0.25,0.27,-2.13,2.3,0.13,-1
2023-06-07,11.85,12.15,11.78,12.01,45659,0.16,0.38,1.33,3.12,0.19,1
2023-06-06,11.8,11.85,11.8,11.82,2801,0.02,0.05,0.21,0.42,0.02,1
2023-06-05,11.84,11.84,11.75,11.75,412,-0.09,0.09,-0.73,0.73,0.04,-1
2023-06-02,11.75,11.75,11.75,11.75,1018,0.0,0.0,0.0,0.0,0.0,-1
