Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-07-10,15.69,15.81,15.55,15.68,14421,-0.01,0.26,-0.06,1.66,0.13,15.61,15.18,-0.14,0.03,-0.17,-1140361,12.14,65.0,26.67,1.0,38.33,Weak Buy Signal,18.19,15.61,13.03,0.33,58.86,Target Volume,Expected Range,25.43,Strong Trend
2023-07-07,15.57,15.85,15.51,15.69,39861,0.12,0.34,0.76,2.17,0.17,15.59,15.16,-0.12,0.07,-0.19,-1125940,12.14,66.67,28.33,1.0,38.33,Weak Buy Signal,18.18,15.59,12.99,0.33,58.9,Target Volume,Expected Range,25.66,Strong Trend
2023-07-06,15.66,15.67,15.03,15.54,24035,-0.12,0.64,-0.77,4.12,0.32,15.57,15.14,-0.09,0.12,-0.22,-1165801,11.07,68.33,30.0,1.0,38.33,Weak Buy Signal,18.18,15.57,12.96,0.34,58.48,Target Volume,Expected Range,25.89,Strong Trend
2023-07-05,15.82,15.94,15.66,15.67,21864,-0.15,0.28,-0.96,1.79,0.14,15.55,15.13,-0.04,0.17,-0.22,-1141766,15.92,70.0,31.67,1.0,38.33,Weak Buy Signal,18.17,15.55,12.93,0.34,58.99,Target Volume,Expected Range,26.14,Strong Trend
2023-07-03,15.82,15.99,15.82,15.99,3931,0.17,0.17,1.06,1.06,0.08,15.54,15.11,0.01,0.23,-0.22,-1119902,17.2,71.67,33.33,1.0,38.33,Weak Buy Signal,18.17,15.54,12.92,0.34,60.25,Trending Low,Bearish Trend,26.31,Strong Trend
2023-06-30,16.06,16.06,15.82,15.87,19498,-0.19,0.24,-1.2,1.51,0.12,15.53,15.08,0.04,0.28,-0.24,-1123833,17.2,73.33,35.0,1.0,38.33,Weak Buy Signal,18.15,15.53,12.9,0.34,59.94,Target Volume,Expected Range,26.47,Strong Trend
2023-06-29,15.75,16.27,15.75,15.98,13881,0.23,0.52,1.44,3.25,0.26,15.51,15.06,0.1,0.34,-0.24,-1104335,17.2,75.0,36.67,1.0,38.33,Weak Buy Signal,18.14,15.51,12.89,0.34,60.37,Trending Low,Bearish Trend,26.62,Strong Trend
2023-06-28,16.06,16.06,15.46,15.71,25977,-0.35,0.6,-2.23,3.82,0.3,15.5,15.02,0.16,0.41,-0.25,-1118216,16.05,76.67,38.33,1.0,38.33,Weak Buy Signal,18.12,15.5,12.88,0.34,59.67,Target Volume,Expected Range,26.78,Strong Trend
2023-06-27,16.2,16.51,16.01,16.13,25322,-0.07,0.5,-0.43,3.1,0.25,15.5,15.0,0.26,0.47,-0.21,-1092239,20.38,78.33,40.0,1.0,38.33,Weak Buy Signal,18.12,15.5,12.88,0.34,61.33,Trending Low,Bearish Trend,26.96,Strong Trend
2023-06-26,16.78,16.87,16.11,16.22,24287,-0.56,0.76,-3.45,4.65,0.38,15.49,14.96,0.34,0.52,-0.18,-1066917,21.23,80.0,0.0,1.0,80.0,Strong Buy Signal,18.11,15.49,12.87,0.34,61.7,Trending Low,Bearish Trend,27.08,Strong Trend
