Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-11,25.62,25.69,25.34,25.48,35148,-0.14,0.35,-0.55,1.37,0.18,-1
2023-07-10,25.66,25.95,25.57,25.61,19594,-0.05,0.38,-0.2,1.48,0.19,-1
2023-07-07,25.54,25.89,25.54,25.77,45858,0.23,0.35,0.89,1.36,0.18,1
2023-07-06,25.8,26.3,25.22,25.54,38539,-0.26,1.08,-1.02,4.23,0.54,-1
2023-07-05,25.95,26.12,25.79,25.81,25076,-0.14,0.34,-0.54,1.3,0.17,1
2023-07-03,25.83,26.04,25.65,25.75,6482,-0.08,0.39,-0.31,1.51,0.2,1
2023-06-30,25.79,25.94,25.57,25.58,24432,-0.21,0.37,-0.82,1.45,0.19,-1
2023-06-29,25.32,25.93,25.32,25.65,37170,0.33,0.61,1.29,2.38,0.3,1
2023-06-28,25.0,25.54,25.0,25.25,44744,0.25,0.54,0.99,2.14,0.27,-1
2023-06-27,24.87,25.37,24.63,25.25,48480,0.38,0.74,1.5,2.93,0.37,1
2023-06-26,24.62,25.04,24.6,24.76,44645,0.14,0.44,0.57,1.78,0.22,-1
2023-06-23,25.08,25.2,24.32,24.8,949037,-0.28,0.88,-1.13,3.55,0.44,-1
2023-06-22,25.3,25.41,25.04,25.18,45500,-0.12,0.36,-0.48,1.45,0.18,-1
2023-06-21,25.47,25.56,25.25,25.41,44293,-0.06,0.31,-0.24,1.22,0.15,-1
2023-06-20,25.36,25.48,25.3,25.41,34971,0.05,0.18,0.2,0.71,0.09,-1
2023-06-16,25.76,25.76,25.43,25.45,68469,-0.31,0.33,-1.22,1.3,0.17,-1
2023-06-15,25.57,25.79,25.51,25.6,23053,0.03,0.28,0.12,1.09,0.14,1
2023-06-14,25.75,25.84,25.47,25.51,25761,-0.24,0.37,-0.94,1.43,0.18,-1
2023-06-13,25.36,25.91,25.25,25.53,32648,0.17,0.66,0.67,2.59,0.33,1
2023-06-12,25.72,25.9,25.25,25.36,23536,-0.36,0.65,-1.42,2.56,0.32,-1
2023-06-09,25.42,25.8,25.34,25.59,25470,0.17,0.46,0.66,1.8,0.23,1
2023-06-08,25.4,25.64,25.07,25.54,30131,0.14,0.57,0.55,2.23,0.29,1
2023-06-07,24.75,25.39,24.75,25.34,24209,0.59,0.64,2.33,2.53,0.32,1
2023-06-06,24.29,24.91,24.29,24.7,65961,0.41,0.62,1.66,2.5,0.31,1
2023-06-05,24.1,24.23,24.05,24.1,13461,0.0,0.18,0.0,0.75,0.09,1
2023-06-02,24.15,24.27,23.96,24.05,37746,-0.1,0.31,-0.42,1.29,0.15,1
2023-06-01,23.53,23.97,23.53,23.66,34697,0.13,0.44,0.55,1.86,0.22,1
2023-05-31,23.44,23.74,23.41,23.56,26967,0.12,0.33,0.51,1.4,0.16,-1
2023-05-30,23.64,23.84,23.39,23.56,16875,-0.08,0.45,-0.34,1.91,0.22,-1
2023-05-26,23.52,23.66,23.42,23.6,12262,0.08,0.23,0.34,1.0,0.12,1
2023-05-25,23.45,23.69,23.1,23.54,15279,0.09,0.59,0.38,2.49,0.29,1
2023-05-24,23.43,23.71,23.07,23.4,26485,-0.03,0.64,-0.13,2.74,0.32,-1
2023-05-23,23.4,23.99,23.4,23.43,23340,0.03,0.59,0.13,2.52,0.29,1
2023-05-22,23.4,23.54,23.08,23.42,27293,0.02,0.46,0.09,1.94,0.23,1
2023-05-19,23.28,23.69,23.05,23.38,39628,0.1,0.64,0.43,2.74,0.32,1
2023-05-18,23.38,23.65,23.26,23.36,15168,-0.02,0.39,-0.09,1.67,0.19,1
2023-05-17,23.09,23.53,22.73,23.19,23437,0.1,0.8,0.43,3.45,0.4,1
2023-05-16,23.13,23.17,22.72,22.74,15424,-0.38,0.45,-1.69,1.98,0.23,-1
2023-05-15,23.23,23.28,22.86,22.93,13658,-0.3,0.42,-1.31,1.83,0.21,1
2023-05-12,22.77,22.96,22.64,22.87,13356,0.1,0.32,0.44,1.4,0.16,1
2023-05-11,22.98,23.28,22.55,22.81,17465,-0.17,0.73,-0.75,3.2,0.37,-1
2023-05-10,23.15,23.29,22.56,23.1,16038,-0.05,0.72,-0.22,3.14,0.36,1
2023-05-09,22.72,23.05,22.11,22.98,21470,0.26,0.94,1.13,4.09,0.47,1
2023-05-08,22.89,23.76,22.36,22.75,26028,-0.14,1.4,-0.62,6.15,0.7,-1
2023-05-05,22.85,23.4,22.85,22.92,32973,0.07,0.55,0.31,2.4,0.27,1
2023-05-04,23.11,24.11,22.38,22.68,34465,-0.43,1.73,-1.9,7.61,0.86,-1
2023-05-03,23.61,23.78,23.19,23.29,28660,-0.32,0.59,-1.37,2.53,0.29,-1
2023-05-02,25.05,25.05,23.39,23.47,51206,-1.58,1.66,-6.73,7.07,0.83,-1
2023-05-01,25.59,25.74,24.89,24.96,37464,-0.63,0.85,-2.51,3.41,0.42,-1
2023-04-28,26.12,26.5,25.6,25.75,62908,-0.37,0.9,-1.44,3.5,0.45,-1
2023-04-27,26.36,26.67,25.79,26.15,26293,-0.21,0.88,-0.8,3.37,0.44,1
2023-04-26,25.56,26.52,25.56,25.97,28199,0.41,0.96,1.58,3.7,0.48,1
2023-04-25,26.6,26.77,25.81,25.87,23260,-0.73,0.96,-2.82,3.71,0.48,-1
2023-04-24,27.21,27.45,26.84,26.84,16103,-0.37,0.61,-1.38,2.27,0.3,-1
2023-04-21,27.14,27.58,27.0,27.28,19876,0.14,0.58,0.51,2.13,0.29,-1
2023-04-20,26.99,27.6,26.99,27.3,21046,0.31,0.61,1.14,2.23,0.31,1
2023-04-19,26.6,27.0,26.55,26.97,38402,0.37,0.45,1.37,1.67,0.22,1
2023-04-18,26.8,26.83,26.56,26.6,44184,-0.2,0.27,-0.75,1.02,0.13,-1
2023-04-17,26.87,26.99,26.72,26.77,33858,-0.1,0.27,-0.37,1.01,0.13,-1
2023-04-14,27.03,27.16,26.86,26.95,21942,-0.08,0.3,-0.3,1.11,0.15,-1
2023-04-13,27.2,27.24,27.03,27.03,21970,-0.17,0.21,-0.63,0.78,0.1,-1
2023-04-12,27.06,27.28,27.01,27.15,36554,0.09,0.27,0.33,1.01,0.14,-1
2023-04-11,26.93,27.21,26.9,27.18,33001,0.25,0.31,0.92,1.15,0.16,1
2023-04-10,26.77,27.2,26.76,27.0,33950,0.23,0.44,0.85,1.63,0.22,1
2023-04-06,26.67,26.99,26.67,26.86,16462,0.19,0.32,0.71,1.19,0.16,1
2023-04-05,26.95,27.19,26.77,26.82,27560,-0.13,0.42,-0.48,1.57,0.21,-1
2023-04-04,27.02,27.3,26.52,27.05,135944,0.03,0.78,0.11,2.88,0.39,1
2023-04-03,26.92,27.39,26.92,27.0,41021,0.08,0.47,0.3,1.74,0.23,-1
2023-03-31,27.35,27.35,26.76,27.02,38895,-0.33,0.59,-1.22,2.18,0.29,-1
2023-03-30,27.59,27.59,26.96,27.16,25019,-0.43,0.63,-1.58,2.32,0.31,-1
2023-03-29,27.74,28.0,27.38,27.39,47049,-0.35,0.62,-1.28,2.26,0.31,-1
2023-03-28,28.06,28.29,27.64,27.68,28447,-0.38,0.65,-1.37,2.35,0.32,-1
2023-03-27,28.23,28.59,28.0,28.02,14901,-0.21,0.59,-0.75,2.11,0.29,-1
2023-03-24,27.51,28.33,27.51,28.04,21338,0.53,0.82,1.89,2.92,0.41,1
2023-03-23,28.01,28.35,27.72,27.73,12166,-0.28,0.63,-1.01,2.27,0.32,-1
2023-03-22,28.35,28.66,28.06,28.09,23792,-0.26,0.6,-0.93,2.14,0.3,-1
2023-03-21,28.19,28.7,28.01,28.47,19968,0.28,0.69,0.98,2.41,0.34,1
2023-03-20,28.26,28.7,27.92,27.98,18184,-0.28,0.79,-1.0,2.81,0.39,-1
2023-03-17,28.4,28.4,27.43,28.26,57796,-0.14,0.97,-0.5,3.43,0.48,-1
2023-03-16,28.44,28.94,28.03,28.5,33162,0.06,0.91,0.21,3.19,0.46,1
2023-03-15,28.41,28.8,28.0,28.26,34572,-0.15,0.8,-0.53,2.83,0.4,-1
2023-03-14,30.27,30.27,28.3,28.66,27489,-1.61,1.97,-5.62,6.87,0.98,-1
2023-03-13,30.97,30.97,27.79,28.68,44742,-2.29,3.18,-7.98,11.09,1.59,-1
2023-03-10,31.57,32.04,30.76,31.2,33507,-0.37,1.28,-1.19,4.1,0.64,-1
2023-03-09,32.63,32.63,31.64,31.89,27711,-0.74,0.99,-2.31,3.1,0.5,-1
2023-03-08,32.8,33.08,32.55,32.74,18756,-0.06,0.53,-0.18,1.62,0.27,-1
2023-03-07,33.34,33.38,32.86,32.86,26884,-0.48,0.52,-1.46,1.58,0.26,-1
2023-03-06,33.44,33.71,33.33,33.43,5849,-0.01,0.38,-0.03,1.14,0.19,-1
2023-03-03,33.45,33.76,32.97,33.55,16213,0.1,0.79,0.3,2.35,0.39,1
2023-03-02,33.51,33.51,33.02,33.18,29874,-0.33,0.49,-0.99,1.48,0.24,-1
2023-03-01,33.61,33.95,33.55,33.55,9305,-0.06,0.4,-0.18,1.19,0.2,-1
2023-02-28,33.99,34.06,33.62,33.78,8743,-0.21,0.44,-0.62,1.3,0.22,-1
2023-02-27,34.05,34.27,33.8,33.94,8306,-0.11,0.47,-0.32,1.38,0.24,-1
2023-02-24,34.1,34.5,33.75,34.04,16406,-0.06,0.75,-0.18,2.2,0.37,-1
2023-02-23,34.11,34.46,34.01,34.15,13889,0.04,0.45,0.12,1.32,0.23,-1
2023-02-22,34.46,34.64,34.19,34.19,13752,-0.27,0.45,-0.79,1.32,0.23,-1
2023-02-21,34.76,34.78,34.3,34.45,12999,-0.31,0.48,-0.9,1.39,0.24,-1
2023-02-17,35.14,35.14,34.72,34.85,12022,-0.29,0.41,-0.83,1.19,0.21,-1
2023-02-16,35.22,35.27,34.91,34.91,12413,-0.32,0.36,-0.9,1.03,0.18,-1
2023-02-15,35.25,35.42,35.25,35.27,13309,0.02,0.16,0.06,0.47,0.08,-1
2023-02-14,35.4,35.5,35.17,35.45,18617,0.05,0.33,0.14,0.93,0.16,-1
2023-02-13,35.22,35.5,35.22,35.47,21181,0.25,0.28,0.72,0.8,0.14,1
