Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-07,58.69,60.92,57.84,60.14,854433,1.45,3.08,2.41,5.12,1.54,1
2023-07-06,59.58,59.58,58.17,59.19,311057,-0.39,1.41,-0.66,2.38,0.7,-1
2023-07-05,61.08,61.57,59.99,60.43,249564,-0.65,1.58,-1.08,2.61,0.79,-1
2023-07-03,61.01,62.64,61.01,61.93,151763,0.92,1.62,1.49,2.62,0.81,1
2023-06-30,62.72,62.76,60.66,60.9,286665,-1.82,2.1,-2.99,3.44,1.05,-1
2023-06-29,62.11,63.27,61.8,61.99,251073,-0.12,1.47,-0.19,2.37,0.74,1
2023-06-28,60.99,61.73,59.95,61.31,328296,0.32,1.78,0.52,2.9,0.89,-1
2023-06-27,59.28,61.65,58.11,61.32,387296,2.04,3.54,3.33,5.77,1.77,1
2023-06-26,57.79,59.62,57.75,58.98,471728,1.19,1.87,2.02,3.17,0.93,1
2023-06-23,56.66,57.82,56.31,57.4,647760,0.74,1.51,1.29,2.63,0.75,-1
2023-06-22,59.28,59.28,57.19,57.48,446391,-1.8,2.09,-3.13,3.64,1.05,-1
2023-06-21,60.92,60.92,59.34,59.43,461593,-1.49,1.58,-2.51,2.66,0.79,-1
2023-06-20,62.8,63.33,60.93,61.28,536790,-1.52,2.4,-2.48,3.92,1.2,-1
2023-06-16,64.67,64.67,62.49,63.16,967724,-1.51,2.18,-2.39,3.45,1.09,-1
2023-06-15,63.53,64.96,63.53,64.24,335709,0.71,1.43,1.11,2.23,0.71,-1
2023-06-14,66.58,67.1,63.98,64.29,296225,-2.29,3.12,-3.56,4.85,1.56,-1
2023-06-13,63.98,66.76,63.54,66.42,321696,2.44,3.23,3.67,4.86,1.61,1
2023-06-12,65.75,67.35,62.77,63.85,559175,-1.9,4.58,-2.98,7.17,2.29,-1
2023-06-09,66.22,66.78,64.97,65.75,208804,-0.47,1.81,-0.71,2.75,0.91,-1
2023-06-08,66.82,66.97,64.93,66.6,232834,-0.22,2.04,-0.33,3.06,1.02,-1
2023-06-07,66.34,68.14,65.5,67.24,594943,0.9,2.64,1.34,3.93,1.32,1
2023-06-06,61.92,67.03,59.65,65.47,366168,3.55,7.38,5.42,11.26,3.69,1
2023-06-05,63.16,63.68,61.43,62.09,414273,-1.07,2.25,-1.72,3.62,1.12,-1
2023-06-02,59.85,63.7,59.51,63.6,449520,3.75,4.19,5.9,6.58,2.09,1
2023-06-01,57.04,59.0,56.0,58.76,315314,1.72,3.0,2.93,5.11,1.5,1
2023-05-31,59.04,59.55,56.38,56.64,403305,-2.4,3.17,-4.24,5.6,1.58,-1
2023-05-30,59.83,59.89,58.22,59.58,235543,-0.25,1.66,-0.42,2.79,0.83,-1
2023-05-26,59.09,59.71,58.22,59.62,163350,0.53,1.49,0.89,2.5,0.75,1
2023-05-25,59.53,60.75,58.56,59.33,258274,-0.2,2.19,-0.34,3.69,1.09,-1
2023-05-24,60.66,60.85,59.63,60.29,215291,-0.37,1.22,-0.61,2.02,0.61,-1
