Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-08-04,6.65,6.69,6.5,6.6,88321,-0.05,0.19,-0.76,2.88,0.09,6.06,6.41,0.16,0.15,0.01,13012040,12.54,88.33,25.0,1.0,63.33,Weak Buy Signal,6.62,6.06,5.5,0.19,47.36,Target Volume,Expected Range,23.06,Absent or Weak Trend
2023-08-03,6.57,6.65,6.45,6.6,31948,0.03,0.2,0.45,3.03,0.1,6.05,6.41,0.16,0.14,0.02,13012040,13.42,90.0,26.67,1.0,63.33,Weak Buy Signal,6.6,6.05,5.5,0.18,47.36,Target Volume,Expected Range,23.24,Absent or Weak Trend
2023-08-02,6.57,6.65,6.48,6.51,38720,-0.06,0.17,-0.92,2.53,0.08,6.04,6.4,0.17,0.14,0.03,12980092,12.84,91.67,28.33,1.0,63.33,Weak Buy Signal,6.57,6.04,5.51,0.18,46.63,Target Volume,Expected Range,23.41,Absent or Weak Trend
2023-08-01,6.69,6.69,6.52,6.61,33520,-0.08,0.17,-1.21,2.57,0.09,6.03,6.4,0.18,0.13,0.05,13018812,12.25,93.33,30.0,1.0,63.33,Weak Buy Signal,6.54,6.03,5.51,0.17,47.34,Target Volume,Expected Range,23.59,Absent or Weak Trend
2023-07-31,6.71,6.71,6.6,6.69,35038,-0.02,0.11,-0.3,1.64,0.06,6.01,6.39,0.18,0.12,0.06,13052332,10.9,95.0,31.67,1.0,63.33,Weak Buy Signal,6.51,6.01,5.52,0.17,47.92,Target Volume,Expected Range,23.78,Absent or Weak Trend
2023-07-28,6.52,6.7,6.51,6.7,22929,0.18,0.19,2.69,2.84,0.1,6.0,6.38,0.16,0.11,0.06,13087370,11.11,96.67,33.33,1.0,63.33,Weak Buy Signal,6.47,6.0,5.54,0.16,47.99,Target Volume,Expected Range,24.0,Absent or Weak Trend
2023-07-27,6.64,6.64,6.44,6.51,50576,-0.13,0.19,-2.0,3.0,0.1,5.99,6.37,0.14,0.09,0.05,13064441,12.37,0.0,35.0,-1.0,-35.0,Weak Sell Signal,6.42,5.99,5.56,0.14,46.5,Target Volume,Expected Range,24.22,Absent or Weak Trend
2023-07-26,6.48,6.72,6.42,6.5,63557,0.02,0.3,0.31,4.62,0.15,5.99,6.37,0.14,0.08,0.06,13013865,12.37,0.0,36.67,-1.0,-36.67,Weak Sell Signal,6.4,5.99,5.57,0.14,46.42,Target Volume,Expected Range,24.42,Absent or Weak Trend
2023-07-25,6.51,6.51,6.4,6.41,9435,-0.1,0.11,-1.56,1.72,0.05,5.99,6.36,0.13,0.06,0.07,12950308,16.82,0.0,38.33,-1.0,-38.33,Weak Sell Signal,6.42,5.99,5.56,0.14,45.7,Target Volume,Expected Range,24.62,Absent or Weak Trend
2023-07-24,6.5,6.52,6.45,6.51,22286,0.01,0.06,0.15,1.0,0.03,6.0,6.36,0.12,0.05,0.08,12959743,16.04,0.0,40.0,-1.0,-40.0,Weak Sell Signal,6.46,6.0,5.53,0.16,46.38,Target Volume,Expected Range,24.75,Absent or Weak Trend
2023-07-21,6.56,6.56,6.39,6.45,13599,-0.1,0.17,-1.63,2.56,0.08,6.0,6.35,0.11,0.03,0.08,12937457,16.04,0.0,41.67,-1.0,-41.67,Weak Sell Signal,6.52,6.0,5.48,0.17,45.9,Target Volume,Expected Range,24.9,Absent or Weak Trend
