Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-31,23.4,23.85,23.4,23.51,20120,0.11,0.45,0.47,1.92,0.23,1
2023-07-28,23.43,23.5,23.23,23.45,3452,0.02,0.27,0.08,1.14,0.13,1
2023-07-27,23.43,23.67,23.34,23.4,7345,-0.03,0.33,-0.13,1.41,0.16,1
2023-07-26,23.3,23.55,23.3,23.31,4310,0.01,0.25,0.04,1.07,0.12,-1
2023-07-25,23.37,23.37,23.33,23.34,3582,-0.04,0.04,-0.15,0.17,0.02,1
2023-07-24,23.45,23.45,23.2,23.31,10265,-0.14,0.25,-0.6,1.07,0.12,1
2023-07-21,23.46,23.54,23.18,23.2,5427,-0.26,0.36,-1.12,1.55,0.18,-1
2023-07-20,23.45,23.54,23.18,23.41,28613,-0.04,0.36,-0.16,1.52,0.18,-1
2023-07-19,23.62,23.62,23.34,23.53,9725,-0.09,0.28,-0.39,1.19,0.14,1
2023-07-18,23.49,23.49,23.36,23.36,2605,-0.13,0.13,-0.56,0.56,0.06,-1
2023-07-17,23.8,23.8,23.28,23.49,3187,-0.31,0.52,-1.32,2.21,0.26,-1
2023-07-14,23.85,23.85,23.53,23.55,4895,-0.3,0.32,-1.29,1.36,0.16,-1
2023-07-13,23.82,23.91,23.82,23.88,3851,0.06,0.09,0.25,0.38,0.05,1
2023-07-12,23.57,23.88,23.57,23.82,17189,0.25,0.31,1.05,1.3,0.15,1
2023-07-11,23.49,23.56,23.3,23.43,3972,-0.06,0.26,-0.25,1.09,0.13,1
2023-07-10,23.43,23.49,23.29,23.39,6648,-0.04,0.2,-0.17,0.86,0.1,-1
2023-07-07,23.45,23.47,23.26,23.47,2937,0.02,0.21,0.09,0.88,0.1,1
2023-07-06,23.49,23.49,23.16,23.22,3557,-0.26,0.33,-1.14,1.42,0.16,-1
2023-07-05,23.84,23.89,23.64,23.64,10201,-0.2,0.25,-0.85,1.06,0.13,-1
2023-07-03,23.54,23.77,23.54,23.67,1536,0.13,0.23,0.55,0.97,0.12,1
2023-06-30,23.47,23.56,23.36,23.47,34017,0.0,0.2,0.0,0.83,0.1,1
2023-06-29,23.25,23.39,22.96,23.05,5767,-0.2,0.43,-0.85,1.86,0.21,-1
2023-06-28,23.28,23.69,23.2,23.55,12920,0.27,0.49,1.15,2.08,0.24,1
2023-06-27,23.52,23.54,23.44,23.49,2278,-0.03,0.09,-0.13,0.4,0.05,1
2023-06-26,23.37,23.5,23.22,23.46,5840,0.09,0.27,0.38,1.16,0.14,1
2023-06-23,22.97,23.35,22.78,23.3,5129,0.33,0.57,1.42,2.44,0.28,1
2023-06-22,23.16,23.34,22.91,23.29,12219,0.13,0.43,0.55,1.85,0.21,1
2023-06-21,22.91,23.26,22.88,23.24,9674,0.33,0.38,1.4,1.64,0.19,1
2023-06-20,23.25,23.4,22.94,22.94,20560,-0.31,0.46,-1.35,1.99,0.23,-1
2023-06-16,23.4,23.5,23.25,23.39,12094,-0.01,0.25,-0.04,1.07,0.13,-1
2023-06-15,23.49,23.58,23.29,23.48,11313,-0.01,0.29,-0.04,1.24,0.14,1
2023-06-14,23.46,23.78,23.42,23.42,6805,-0.04,0.36,-0.17,1.54,0.18,-1
2023-06-13,23.85,24.23,23.83,23.85,14523,0.0,0.4,0.0,1.67,0.2,-1
2023-06-12,24.18,24.18,23.85,23.85,5871,-0.33,0.33,-1.38,1.38,0.16,-1
2023-06-09,24.3,24.44,24.29,24.29,3870,-0.01,0.15,-0.04,0.62,0.08,-1
2023-06-08,24.36,24.43,24.22,24.38,4836,0.02,0.21,0.09,0.84,0.1,-1
2023-06-07,24.28,24.55,24.28,24.45,4737,0.17,0.27,0.7,1.1,0.13,-1
2023-06-06,24.42,24.49,24.25,24.46,6350,0.04,0.24,0.16,0.98,0.12,1
2023-06-05,24.17,24.41,23.86,24.41,8426,0.24,0.55,0.98,2.25,0.28,1
2023-06-02,23.32,24.18,23.32,24.17,15729,0.85,0.86,3.5,3.54,0.43,1
2023-06-01,23.21,23.46,23.16,23.46,6122,0.25,0.3,1.07,1.28,0.15,1
2023-05-31,22.94,23.35,22.82,23.09,53548,0.15,0.53,0.65,2.3,0.27,1
2023-05-30,22.84,23.2,22.84,22.9,24291,0.06,0.36,0.26,1.57,0.18,1
2023-05-26,22.69,22.95,22.69,22.84,4994,0.15,0.26,0.66,1.14,0.13,1
2023-05-25,22.86,22.89,22.78,22.8,3115,-0.06,0.11,-0.27,0.46,0.05,-1
2023-05-24,22.99,22.99,22.63,22.81,3659,-0.18,0.36,-0.79,1.58,0.18,-1
2023-05-23,22.76,22.87,22.75,22.87,3706,0.11,0.12,0.48,0.52,0.06,1
